scenario,Year,Beef,Dairy,Pork,Poultry,SheepGoat,Units
ssp126,2025,2.5374879,25.195587,0.2308161,0.91988,1.1348585,Mt
ssp245,2025,3.0586346,28.887777,0.2699845,1.067,1.3166343,Mt
ssp445,2025,3.0637579,29.253788,0.2862267,1.06795,1.2892749,Mt
ssp585,2025,2.9245062,28.112177,0.2645418,1.066212,1.3170925,Mt
ssp126,2030,2.7096371,27.030163,0.2453704,0.99678,1.2180433,Mt
ssp245,2030,3.62195,33.549086,0.313835,1.265045,1.5475097,Mt
ssp445,2030,3.5643706,33.686202,0.330802,1.241564,1.4740002,Mt
ssp585,2030,3.4876822,33.03171,0.316818,1.308704,1.5954011,Mt
ssp126,2035,2.8329062,28.470811,0.2569179,1.057081,1.2787548,Mt
ssp245,2035,4.2338911,38.551931,0.363282,1.486224,1.80235,Mt
ssp445,2035,4.0438082,37.962206,0.373802,1.40988,1.6497561,Mt
ssp585,2035,4.1215644,38.676382,0.382445,1.609918,1.9313909,Mt
ssp126,2040,2.8923205,29.379398,0.2635509,1.091502,1.3098653,Mt
ssp245,2040,4.9022139,43.96117,0.417274,1.735275,2.0894206,Mt
ssp445,2040,4.5451879,42.398606,0.418935,1.58684,1.8337971,Mt
ssp585,2040,4.7349107,44.397913,0.454434,1.939958,2.2928802,Mt
ssp126,2045,2.8832778,29.703311,0.2638906,1.09733,1.3087053,Mt
ssp245,2045,5.6035437,49.647995,0.475407,2.009594,2.4066059,Mt
ssp445,2045,5.0670801,46.985865,0.466204,1.77285,2.0273199,Mt
ssp585,2045,5.2766136,49.784405,0.526805,2.27608,2.6568858,Mt
ssp126,2050,2.8138565,29.501769,0.2583948,1.078247,1.2783882,Mt
ssp245,2050,6.299681,55.419235,0.536761,2.30472,2.7477413,Mt
ssp445,2050,5.603625,51.684047,0.515386,1.967272,2.2303604,Mt
ssp585,2050,5.7247124,54.575952,0.595257,2.59832,3.0021596,Mt
ssp126,2055,2.7138728,29.004951,0.2499463,1.045316,1.2344546,Mt
ssp245,2055,6.9520157,61.034103,0.600897,2.61377,3.1057777,Mt
ssp445,2055,6.137556,56.32721,0.565347,2.164295,2.4388553,Mt
ssp585,2055,6.100392,58.839078,0.658315,2.9029,3.3299117,Mt
ssp126,2060,2.5848349,28.234626,0.2391462,1.000791,1.1768354,Mt
ssp245,2060,7.5394769,66.403554,0.666784,2.93313,3.4756456,Mt
ssp445,2060,6.6751992,60.96516,0.616604,2.36655,2.6558301,Mt
ssp585,2060,6.397364,62.430214,0.715966,3.17539,3.6199675,Mt
