scenario,Year,Beef,Dairy,Pork,Poultry,SheepGoat,Units
ssp126,2025,1.8672335600000003,15.685380100000001,0.001480876,4.72399,0.9739265300000001,Mt
ssp245,2025,1.96926717,16.3464592,0.001605467,4.98481,1.03507073,Mt
ssp445,2025,1.92272799,16.0890568,0.001535418,4.90245,1.01811108,Mt
ssp585,2025,1.9819404600000001,16.3156014,0.001594104,4.9857700000000005,1.04327561,Mt
ssp126,2030,2.01919691,16.8022362,0.001542454,5.13217,1.05615206,Mt
ssp245,2030,2.20484068,17.9417219,0.001741261,5.57934,1.16287089,Mt
ssp445,2030,2.12351165,17.4927802,0.001627949,5.4353,1.13234994,Mt
ssp585,2030,2.25603913,18.0541773,0.001754949,5.65601,1.19255938,Mt
ssp126,2035,2.14487841,17.6964607,0.0015913020000000002,5.4646300000000005,1.12238959,Mt
ssp245,2035,2.43493099,19.3823124,0.001878825,6.13551,1.28329363,Mt
ssp445,2035,2.30963288,18.6796933,0.00171352,5.90806,1.23469965,Mt
ssp585,2035,2.53885338,19.657042999999998,0.0019244569999999999,6.2995,1.34027196,Mt
ssp126,2040,2.23822302,18.3249963,0.0016185180000000002,5.699590000000001,1.16938578,Mt
ssp245,2040,2.65957483,20.6744899,0.001989075,6.65631,1.3976617,Mt
ssp445,2040,2.47445104,19.655094,0.001770504,6.31424,1.32400216,Mt
ssp585,2040,2.79608411,20.995019120000002,0.0020694479999999998,6.8513399999999995,1.4704872,Mt
ssp126,2045,2.29568905,18.6971638,0.0016187649999999999,5.83575,1.19637789,Mt
ssp245,2045,2.87547134,21.83127764,0.002076649,7.13479,1.5050819,Mt
ssp445,2045,2.61469514,20.4278595,0.00180398,6.64995,1.3996723,Mt
ssp585,2045,3.01404903,22.04343407,0.002176187,7.29764,1.5783434,Mt
ssp126,2050,2.3143996799999997,18.8187354,0.0015886099999999998,5.88494,1.20354005,Mt
ssp245,2050,3.07013667,22.83603688,0.002139798,7.566319999999999,1.6025027,Mt
ssp445,2050,2.72526107,21.00229568,0.0018123,6.91893,1.4609644,Mt
ssp585,2050,3.18298255,22.796702930000002,0.002242153,7.63549,1.6609558999999998,Mt
ssp126,2055,2.30869894,18.7108904,0.001559204,5.85987,1.19818162,Mt
ssp245,2055,3.2530099,23.65940365,0.0022103,7.94639,1.691451,Mt
ssp445,2055,2.81998727,21.38805134,0.001826518,7.12724,1.5114194,Mt
ssp585,2055,3.31644654,23.2626641,0.0022909749999999998,7.87605,1.7255405,Mt
ssp126,2060,2.27642229,18.4314058,0.001518091,5.77673,1.1796294299999999,Mt
ssp245,2060,3.41650587,24.33175791,0.00226469,8.2831,1.771012,Mt
ssp445,2060,2.88922691,21.61791159,0.001823744,7.28283,1.550209,Mt
ssp585,2060,3.4111491700000003,23.51370202,0.002319088,8.03971,1.7713507,Mt
