scenario,Year,Beef,Dairy,Pork,Poultry,SheepGoat,Units
ssp126,2025,1.50213719,5.6278957,0.6206579999999999,0.848875,0.2800964,Mt
ssp245,2025,1.70600547,6.3050931,0.717868,0.952676,0.3228222,Mt
ssp445,2025,1.75709432,6.4422319,0.725241,1.003243,0.3199356,Mt
ssp585,2025,1.6459943700000002,6.138544899999999,0.716009,0.944159,0.3226013,Mt
ssp126,2030,1.58320107,6.0346795,0.673424,0.913599,0.3056435,Mt
ssp245,2030,1.90341653,7.1399703,0.8355649999999999,1.08585,0.3781164,Mt
ssp445,2030,1.98964803,7.3390182,0.838981,1.152293,0.3700401,Mt
ssp585,2030,1.8449361,7.0032246,0.863522,1.101256,0.3903145,Mt
ssp126,2035,1.65234847,6.3968097,0.724108,0.981091,0.3288526,Mt
ssp245,2035,2.10080905,7.983471900000001,0.9651940000000001,1.232709,0.4374369,Mt
ssp445,2035,2.2086342,8.1872715,0.9488730000000001,1.296341,0.4180103,Mt
ssp585,2035,2.06148883,7.946544300000001,1.048215,1.305115,0.4718311,Mt
ssp126,2040,1.7021490000000001,6.673922900000002,0.7645740000000001,1.0358999999999998,0.34632529999999995,Mt
ssp245,2040,2.31557514,8.886377900000001,1.113702,1.400028,0.5059928,Mt
ssp445,2040,2.43768584,9.0617733,1.066098,1.44918,0.4692192,Mt
ssp585,2040,2.27518922,8.872134500000001,1.252627,1.531258,0.5603571,Mt
ssp126,2045,1.72616141,6.839150899999999,0.787246,1.069823,0.3554965,Mt
ssp245,2045,2.5432277,9.834001599999999,1.28201,1.586944,0.5843328,Mt
ssp445,2045,2.68395203,9.986894399999999,1.196325,1.617194,0.5261484000000001,Mt
ssp585,2045,2.47290046,9.7255314,1.463145,1.76613,0.6508710999999999,Mt
ssp126,2050,1.72231129,6.8902158,0.789466,1.084645,0.35565019999999997,Mt
ssp245,2050,2.7681475,10.7993408,1.467706,1.795312,0.6714584,Mt
ssp445,2050,2.94433635,10.9589663,1.341089,1.804278,0.5898222,Mt
ssp585,2050,2.64655578,10.479425399999998,1.668129,2.001513,0.7385955000000001,Mt
ssp126,2055,1.70402239,6.8773634999999995,0.780675,1.0810149999999998,0.3504041,Mt
ssp245,2055,2.98816741,11.7462589,1.668974,2.012012,0.7650427000000001,Mt
ssp445,2055,3.21253,11.9495854,1.499774,2.005941,0.6592723,Mt
ssp585,2055,2.8077031900000002,11.1657307,1.8656450000000002,2.2100099999999996,0.8234461,Mt
ssp126,2060,1.66808248,6.795105599999999,0.76,1.065184,0.339764,Mt
ssp245,2060,3.19257176,12.6495848,1.878359,2.24077,0.8628624,Mt
ssp445,2060,3.4788665,12.9386207,1.66966,2.22204,0.7339308999999999,Mt
ssp585,2060,2.94354118,11.749755799999999,2.0456820000000002,2.40272,0.900223,Mt
