scenario,Year,Beef,Dairy,Pork,Poultry,SheepGoat,Units
ssp126,2025,2.6696464,5.849282,0.613,2.050143,1.5842338,Mt
ssp245,2025,3.2112098,6.666604,0.730167,2.35017,1.9119754,Mt
ssp445,2025,3.2645509,6.93502,0.761191,2.48621,1.8822662,Mt
ssp585,2025,3.1457737,6.6241520000000005,0.729373,2.35689,1.938344,Mt
ssp126,2030,2.8432563,6.175228,0.652408,2.1978210000000002,1.7222888,Mt
ssp245,2030,3.8024811,7.572154,0.86155,2.74262,2.3319163,Mt
ssp445,2030,3.8489275,7.968395999999999,0.8983019999999999,2.91254,2.2423628,Mt
ssp585,2030,3.7785428000000003,7.6271260000000005,0.889674,2.82513,2.4553053,Mt
ssp126,2035,2.9639579,6.416749,0.681684,2.337863,1.8208895,Mt
ssp245,2035,4.4329083,8.463746,1.009223,3.19382,2.7999898,Mt
ssp445,2035,4.4231634,8.934959999999998,1.035743,3.34016,2.601694,Mt
ssp585,2035,4.4746315999999995,8.63431,1.083421,3.41737,3.0648617000000002,Mt
ssp126,2040,3.0276399000000005,6.560638999999999,0.6987990000000001,2.436335,1.8754021,Mt
ssp245,2040,5.1036342,9.3222,1.169693,3.6842800000000002,3.3235616,Mt
ssp445,2040,5.0163396,9.883098,1.179975,3.78522,2.978573,Mt
ssp585,2040,5.1616092,9.536729,1.2879429999999998,4.0487400000000004,3.7080636,Mt
ssp126,2045,3.0327364999999995,6.602713,0.70162,2.485119,1.8846649000000002,Mt
ssp245,2045,5.7945505,10.11224,1.341244,4.20115,3.8986534,Mt
ssp445,2045,5.625001,10.795391,1.33132,4.24518,3.3735560000000002,Mt
ssp585,2045,5.804012900000001,10.311967000000001,1.4908709999999998,4.6803,4.348520199999999,Mt
ssp126,2050,2.9849006,6.5602350000000005,0.691577,2.4966049999999997,1.8527321999999997,Mt
ssp245,2050,6.4837959,10.842387,1.524484,4.75117,4.5171814,Mt
ssp445,2050,6.248694,11.674656,1.491394,4.72661,3.7885878,Mt
ssp585,2050,6.3836041,10.981539999999999,1.684968,5.29553,4.9560934,Mt
ssp126,2055,2.9102093,6.446929,0.6758919999999999,2.451866,1.804224,Mt
ssp245,2055,7.1260054,11.387908,1.710574,5.24076,5.1611848,Mt
ssp445,2055,6.87685,12.486356,1.658414,5.21218,4.2196707,Mt
ssp585,2055,6.907925999999999,11.511954000000001,1.866517,5.77625,5.5482809,Mt
ssp126,2060,2.8086694999999997,6.288556,0.6549210000000001,2.390856,1.7346659999999998,Mt
ssp245,2060,7.7045778,11.789011,1.897053,5.72417,5.8173275,Mt
ssp445,2060,7.49306,13.197214,1.830488,5.70552,4.661039,Mt
ssp585,2060,7.3612817999999995,11.942068,2.034052,6.21318,6.0884825,Mt
