scenario,Year,Beef,Dairy,Pork,Poultry,SheepGoat,Units
ssp126,2025,3.9980183,35.195554,0.529752,2.007038,1.28796008,Mt
ssp245,2025,4.268102799999999,36.392769,0.530525,2.001365,1.36408174,Mt
ssp445,2025,4.1697912,35.611398,0.529266,1.992426,1.3871276,Mt
ssp585,2025,4.4028806,37.398583,0.5701339999999999,2.127149,1.30669132,Mt
ssp126,2030,4.2661066,36.892508,0.573262,2.159366,1.30153528,Mt
ssp245,2030,4.6706406,39.023613,0.575426,2.1505,1.41478039,Mt
ssp445,2030,4.4862735,37.644052,0.572474,2.136315,1.45570021,Mt
ssp585,2030,4.9598081999999994,41.171751,0.648787,2.378881,1.3508848100000002,Mt
ssp126,2035,4.4709797,38.368658,0.615753,2.308815,1.3168772199999998,Mt
ssp245,2035,5.0169476,41.756653,0.619792,2.292943,1.46676458,Mt
ssp445,2035,4.7298406,39.657454,0.614058,2.275118,1.5192255,Mt
ssp585,2035,5.454122,45.277319000000006,0.730862,2.640047,1.40278714,Mt
ssp126,2040,4.6087388,39.580544,0.657227,2.454901,1.33046508,Mt
ssp245,2040,5.320987,44.57111,0.662116,2.434006,1.51994555,Mt
ssp445,2040,4.9076938,41.5336,0.651883,2.406461,1.58096812,Mt
ssp585,2040,5.86682,49.43799,0.8159829999999999,2.911374,1.45585481,Mt
ssp126,2045,4.691195899999999,40.479584,0.697224,2.597649,1.3417627300000001,Mt
ssp245,2045,5.6136025,47.481343,0.704049,2.575612,1.5736613,Mt
ssp445,2045,5.049364600000001,43.299172,0.687879,2.531956,1.63985927,Mt
ssp585,2045,6.223794000000001,53.42556,0.904103,3.194695,1.50641903,Mt
ssp126,2050,4.7085376,40.985231999999996,0.732333,2.730068,1.35221645,Mt
ssp245,2050,5.8547207,50.2592,0.74304,2.711708,1.62578408,Mt
ssp445,2050,5.1442544,44.847487,0.719195,2.64554,1.69405961,Mt
ssp585,2050,6.526768999999998,57.04845,0.992819,3.483569,1.55420314,Mt
ssp126,2055,4.6963494,41.429314,0.7620089999999999,2.8494349999999997,1.36002504,Mt
ssp245,2055,6.1565773,53.30067,0.779737,2.841116,1.67618927,Mt
ssp445,2055,5.2717841,46.456693,0.745586,2.744871,1.74552373,Mt
ssp585,2055,6.806928,60.66437,1.078495,3.7713710000000003,1.59800514,Mt
ssp126,2060,4.6405867,41.625977,0.78828,2.9585980000000003,1.36761214,Mt
ssp245,2060,6.457426,56.37331,0.8165439999999999,2.967803,1.72573394,Mt
ssp445,2060,5.3768611,47.94162,0.769267,2.835643,1.79433475,Mt
ssp585,2060,7.047818,63.90026,1.165487,4.062088,1.6417702200000002,Mt
