scenario,Year,Beef,Dairy,Pork,Poultry,SheepGoat,Units
ssp126,2025,14.617633000000001,39.196241,3.92347,18.61268,0.14081749,Mt
ssp245,2025,15.224306,40.942393,3.99565,19.29368,0.14874321,Mt
ssp445,2025,14.985974,40.41011,3.91741,18.78891,0.14702232,Mt
ssp585,2025,15.24524,40.491290000000006,4.02325,19.77396,0.14419217,Mt
ssp126,2030,15.158919999999998,40.293191,4.06324,19.448269999999997,0.14401514999999998,Mt
ssp245,2030,16.010685,42.934967,4.16704,20.54525,0.15537013,Mt
ssp445,2030,15.603985,42.01313,4.04464,19.68676,0.1524271,Mt
ssp585,2030,16.234306,42.614224,4.25373,21.648699999999998,0.14988046,Mt
ssp126,2035,15.549775,41.064311000000004,4.1563,19.996589999999998,0.14621574,Mt
ssp245,2035,16.6437,44.584556,4.30243,21.58965,0.16076405,Mt
ssp445,2035,16.045773,43.225343,4.13536,20.39021,0.15641787,Mt
ssp585,2035,17.077052,44.588501,4.425000000000001,23.19317,0.15489836,Mt
ssp126,2040,15.780299000000001,41.451873,4.21022,20.31488,0.14724238,Mt
ssp245,2040,17.173802,45.985943,4.41262,22.50846,0.1653216,Mt
ssp445,2040,16.344977,44.098401,4.19379,20.88633,0.15926337,Mt
ssp585,2040,17.763075999999998,46.138665,4.56422,24.48336,0.15872785,Mt
ssp126,2045,15.864768000000002,41.451486,4.23476,20.44987,0.14713034999999997,Mt
ssp245,2045,17.620391,47.120924,4.49667,23.29776,0.16895412,Mt
ssp445,2045,16.521794,44.608453,4.22527,21.2555,0.16088251,Mt
ssp585,2045,18.313083000000002,47.220601,4.67551,25.502229999999997,0.16132197,Mt
ssp126,2050,15.816675,41.048977,4.2253799999999995,20.28405,0.14605368999999999,Mt
ssp245,2050,17.980042,47.956708,4.564080000000001,23.90751,0.17175735,Mt
ssp445,2050,16.581168,44.736803,4.23015,21.45569,0.16136924,Mt
ssp585,2050,18.729088,47.791123,4.74567,26.16988,0.16259984,Mt
ssp126,2055,15.695402999999999,40.386765999999994,4.185919999999999,20.03991,0.14430122999999997,Mt
ssp245,2055,18.33062,48.506635,4.60874,24.50934,0.17368812,Mt
ssp445,2055,16.612927,44.557464,4.20956,21.58243,0.16106232,Mt
ssp585,2055,19.10399,48.000978,4.7898499999999995,26.87549,0.16293464000000002,Mt
ssp126,2060,15.468595,39.420024,4.1183,19.584899999999998,0.14176918999999996,Mt
ssp245,2060,18.63837,48.818318,4.631270000000001,24.93402,0.17494856,Mt
ssp445,2060,16.567591,44.084775,4.1636,21.54526,0.15996321,Mt
ssp585,2060,19.378521,47.80480300000001,4.7937899999999996,27.256790000000002,0.16223126,Mt
