scenario,Year,Beef,Dairy,Pork,Poultry,SheepGoat,Units
ssp126,2025,1.64468,9.262784,2.4554270000000002,2.0908320000000002,0.018654881999999998,Mt
ssp245,2025,1.643357,9.265089999999999,2.47051,2.113396,0.019239893,Mt
ssp445,2025,1.627127,9.158594,2.471469,2.103586,0.018930585,Mt
ssp585,2025,1.791104,9.741897000000002,2.61058,2.219289,0.019845638999999998,Mt
ssp126,2030,1.772678,9.730941999999999,2.601665,2.198619,0.019319476999999998,Mt
ssp245,2030,1.779743,9.739294,2.64137,2.241181,0.02029191,Mt
ssp445,2030,1.746795,9.549998,2.618584,2.218509,0.019799739,Mt
ssp585,2030,2.0381359999999997,10.588799,2.9087889999999996,2.436566,0.021258054999999998,Mt
ssp126,2035,1.875772,10.178422999999999,2.731966,2.3054609999999998,0.019826586,Mt
ssp245,2035,1.901837,10.191393,2.814561,2.368114,0.021256677,Mt
ssp445,2035,1.845737,9.914235,2.765387,2.333777,0.020581998,Mt
ssp585,2035,2.268659,11.477340000000002,3.1954000000000002,2.675418,0.022638183000000003,Mt
ssp126,2040,1.949257,10.612988999999999,2.843279,2.4102230000000002,0.020148365,Mt
ssp245,2040,2.012368,10.634246,2.968118,2.492694,0.022129855,Mt
ssp445,2040,1.925879,10.246805,2.887834,2.440384,0.021216752,Mt
ssp585,2040,2.467918,12.403410000000001,3.466756,2.92232,0.023865639,Mt
ssp126,2045,1.998871,11.033100000000001,2.9377139999999997,2.511036,0.020334462,Mt
ssp245,2045,2.115597,11.07378,3.101687,2.613933,0.022890442,Mt
ssp445,2045,1.993176,10.545237,2.998278,2.537896,0.021687498,Mt
ssp585,2045,2.644472,13.3708,3.723041,3.174279,0.024968332000000003,Mt
ssp126,2050,2.027022,11.427543,2.999129,2.6019740000000002,0.020456828,Mt
ssp245,2050,2.215194,11.50637,3.215129,2.728647,0.023657396,Mt
ssp445,2050,2.048272,10.803606,3.085073,2.622697,0.022055669,Mt
ssp585,2050,2.803892,14.36786,3.957846,3.426457,0.025980889,Mt
ssp126,2055,2.041204,11.80854,3.043006,2.689899,0.020760158,Mt
ssp245,2055,2.326108,11.93556,3.330203,2.842354,0.024466444,Mt
ssp445,2055,2.108617,11.032348,3.154334,2.697887,0.02254944,Mt
ssp585,2055,2.966462,15.400750000000002,4.191162,3.684504,0.02716195,Mt
ssp126,2060,2.044705,12.160350000000001,3.071363,2.769591,0.021089547,Mt
ssp245,2060,2.443271,12.35935,3.440929,2.955074,0.025305542,Mt
ssp445,2060,2.1641,11.236183,3.201933,2.765488,0.023058558,Mt
ssp585,2060,3.1196789999999996,16.4399,4.4113430000000005,3.944271,0.028371669000000002,Mt
