scenario,Year,Beef,Dairy,Pork,Poultry,SheepGoat,Units
ssp126,2025,0.9954733999999998,5.9419315,0.59903,2.623488,0.037475813999999996,Mt
ssp245,2025,1.0203806,6.1609163,0.638374,2.792655,0.039843565,Mt
ssp445,2025,1.008707,6.1453921,0.628789,2.783195,0.039434291,Mt
ssp585,2025,1.0458495,6.1424207,0.630768,2.737381,0.039733209,Mt
ssp126,2030,1.0291174,6.1674483,0.6230629999999999,2.7422020000000003,0.039438116,Mt
ssp245,2030,1.0696636,6.5415948,0.687844,3.025108,0.043388754,Mt
ssp445,2030,1.0478538,6.505983199999999,0.67181,3.004063,0.042557627,Mt
ssp585,2030,1.1191981,6.5561288,0.684625,2.967451,0.043628773999999995,Mt
ssp126,2035,1.0516326,6.335766899999999,0.642261,2.83878,0.040901156,Mt
ssp245,2035,1.1117344,6.8876508,0.737452,3.252146,0.046666059,Mt
ssp445,2035,1.0788774,6.8190592,0.712546,3.210217,0.045278727,Mt
ssp585,2035,1.1852381,6.9458834,0.7400899999999999,3.207151,0.04734085,Mt
ssp126,2040,1.0606585000000002,6.424055,0.652411,2.889579,0.041714982,Mt
ssp245,2040,1.1504014,7.2034384,0.7822180000000001,3.465016,0.049746058,Mt
ssp445,2040,1.1037971,7.0965558,0.7480279999999999,3.396401,0.04770242800000001,Mt
ssp585,2040,1.2391795,7.2552894000000006,0.786968,3.4094130000000002,0.050372009,Mt
ssp126,2045,1.0573662,6.4309788999999995,0.6522760000000001,2.892126,0.041875626,Mt
ssp245,2045,1.18622398,7.485263,0.822288,3.659712,0.052600544,Mt
ssp445,2045,1.12403206,7.340748100000001,0.7789919999999999,3.561148,0.049835812,Mt
ssp585,2045,1.28082874,7.4748790000000005,0.821849,3.5636900000000002,0.052643881,Mt
ssp126,2050,1.0436373,6.365468700000001,0.642228,2.858523,0.041413491999999996,Mt
ssp245,2050,1.219125,7.738633,0.857594,3.83784,0.055163693,Mt
ssp445,2050,1.14017882,7.5566775,0.805409,3.71104,0.05166854,Mt
ssp585,2050,1.31146568,7.606464000000001,0.844292,3.670067,0.054125949,Mt
ssp126,2055,1.0275253999999998,6.2525260000000005,0.627831,2.796645,0.040635646,Mt
ssp245,2055,1.25249791,7.95401,0.891453,3.99923,0.057501966,Mt
ssp445,2055,1.16004889,7.749302,0.831761,3.84829,0.053418984,Mt
ssp585,2055,1.3404827400000001,7.672932000000001,0.858244,3.7282070000000003,0.055088366,Mt
ssp126,2060,1.0069219999999999,6.0966385,0.608635,2.715665,0.039484498,Mt
ssp245,2060,1.28244588,8.135856,0.921647,4.14828,0.05955143,Mt
ssp445,2060,1.1777485,7.921889,0.855193,3.97843,0.054977221,Mt
ssp585,2060,1.3640438099999999,7.675925,0.863507,3.7521180000000003,0.05546848099999999,Mt
