scenario,Year,Beef,Dairy,Pork,Poultry,SheepGoat,Units
ssp126,2025,2.7780941,27.0724315,0.2246434,1.439565,1.2458221200000001,Mt
ssp245,2025,2.8580468,27.7003627,0.2313062,1.46982,1.28297058,Mt
ssp445,2025,2.8176754,27.3557422,0.2261661,1.45491,1.27355543,Mt
ssp585,2025,2.8324073,27.3516032,0.2321128,1.45987,1.29428327,Mt
ssp126,2030,2.9685721999999997,28.664950100000006,0.23888360000000003,1.528255,1.3390065,Mt
ssp245,2030,3.0957794,29.6557818,0.2500562,1.581995,1.40154734,Mt
ssp445,2030,3.0366318,29.1457984,0.242449,1.561126,1.38761957,Mt
ssp585,2030,3.0856878,29.2953703,0.2534141,1.572084,1.43727884,Mt
ssp126,2035,3.1211716000000003,29.9245035,0.2522973,1.6109550000000001,1.4132667300000001,Mt
ssp245,2035,3.2983139,31.274095,0.2675942,1.683139,1.50499278,Mt
ssp445,2035,3.2216306,30.6066334,0.2575305,1.655694,1.48648912,Mt
ssp585,2035,3.3075213,30.8987467,0.2742966,1.682445,1.57010342,Mt
ssp126,2040,3.2317693,30.811199600000002,0.2633022,1.674445,1.4665389799999997,Mt
ssp245,2040,3.4712204,32.6172341,0.2823134,1.769564,1.59676441,Mt
ssp445,2040,3.3632868,31.6867462,0.2687524,1.727955,1.56583831,Mt
ssp585,2040,3.4717962,31.983370400000002,0.2905167,1.766218,1.68017451,Mt
ssp126,2045,3.2947062,31.2797981,0.2704101,1.714145,1.49653135,Mt
ssp245,2045,3.6115323,33.6597307,0.2940495,1.839564,1.67648628,Mt
ssp445,2045,3.4553631,32.338415,0.2760765,1.775146,1.62475649,Mt
ssp585,2045,3.5731006,32.525963700000005,0.3011725,1.820518,1.7642369099999997,Mt
ssp126,2050,3.3094102,31.339057500000003,0.2731223,1.732618,1.50355765,Mt
ssp245,2050,3.7117679,34.3686906,0.30238,1.891187,1.74116667,Mt
ssp445,2050,3.494071,32.5477594,0.2789555,1.797377,1.6613366,Mt
ssp585,2050,3.6135743,32.56430497,0.3063196,1.846448,1.82209374,Mt
ssp126,2055,3.2961045999999996,31.1201201,0.2731844,1.731097,1.49637449,Mt
ssp245,2055,3.7875375,34.8218168,0.3087401,1.927372,1.79805259,Mt
ssp445,2055,3.501735,32.4530758,0.2797501,1.80138,1.68612652,Mt
ssp585,2055,3.620285,32.28479404,0.3082939,1.8488280000000001,1.8656609,Mt
ssp126,2060,3.2585867,30.695319299999998,0.2705454,1.715884,1.4772083,Mt
ssp245,2060,3.8483624,35.13685224,0.3136499,1.957565,1.8503175,Mt
ssp445,2060,3.4886481,32.1838402,0.2784336,1.795697,1.70215102,Mt
ssp585,2060,3.6020275,31.80595394,0.3075665,1.8383479999999999,1.8958358000000002,Mt
