scenario,Year,Beef,Dairy,Pork,Poultry,SheepGoat,Units
ssp126,2025,6.901268,43.27882999999999,65.4145,57.409,5.3884964,Mt
ssp245,2025,7.39942,45.770358,68.9746,60.11190000000001,5.7428554,Mt
ssp445,2025,7.31654,45.331006,68.2696,59.5667,5.6769612,Mt
ssp585,2025,7.200846,46.386629000000006,70.82339999999999,61.816599999999994,5.861066299999999,Mt
ssp126,2030,6.971375,44.383793000000004,67.3613,59.3589,5.5645586,Mt
ssp245,2030,7.675778,48.067877,72.7244,63.4225,6.093153300000001,Mt
ssp445,2030,7.542611,47.355857,71.5988,62.56480000000001,5.9850058,Mt
ssp585,2030,7.444352,49.474059,76.35499999999999,66.6957,6.342821599999999,Mt
ssp126,2035,6.946842999999999,44.522915,67.6111,59.848,5.598263,Mt
ssp245,2035,7.83587,49.316482,74.7841,65.2763,6.2941943,Mt
ssp445,2035,7.647117,48.292937,73.1694,64.0543,6.1377549,Mt
ssp585,2035,7.602413,51.324558,79.758,69.7625,6.6457916,Mt
ssp126,2040,6.862162,43.93922299999999,66.5821,59.1773,5.5262406,Mt
ssp245,2040,7.930905,49.865063,75.6717,66.1352,6.395477899999999,Mt
ssp445,2040,7.665712999999999,48.426356,73.4217,64.3979,6.1776813,Mt
ssp585,2040,7.697179,52.050818,81.10419999999999,71.11410000000001,6.7799774,Mt
ssp126,2045,6.738359,42.873484000000005,64.6723,57.730900000000005,5.3809304000000004,Mt
ssp245,2045,7.9718253,49.864998,75.6237,66.1961,6.4174886,Mt
ssp445,2045,7.611158000000001,47.929873,72.603,63.8177,6.1257927,Mt
ssp585,2045,7.7417039,51.984880000000004,80.9431,71.2347,6.791849600000001,Mt
ssp126,2050,6.583916,41.472964000000005,62.1541,55.804599999999994,5.1829966999999995,Mt
ssp245,2050,7.9501048,49.373047,74.7127,65.56360000000001,6.3639276,Mt
ssp445,2050,7.4804387,46.876901,70.8065,62.4357,5.9893893,Mt
ssp585,2050,7.7312533,51.29351200000001,79.5765,70.3868,6.704756500000001,Mt
ssp126,2055,6.415881,39.901629,59.3236,53.489,4.9629333,Mt
ssp245,2055,7.8864781,48.515041,73.1395,64.3274,6.2538628,Mt
ssp445,2055,7.3089679,45.41629200000001,68.274,60.3609,5.7943752,Mt
ssp585,2055,7.688008399999999,50.216637999999996,77.38210000000001,68.723,6.556185499999999,Mt
ssp126,2060,6.220731000000001,38.112806,56.2292,50.9422,4.719276599999999,Mt
ssp245,2060,7.781502,47.409439,71.1609,62.7703,6.107082899999999,Mt
ssp445,2060,7.0890678,43.697574,65.29050000000001,57.9185,5.5591496,Mt
ssp585,2060,7.6032035,48.849693,74.6502,66.6043,6.3604771,Mt
