scenario,Year,Beef,Dairy,Pork,Poultry,SheepGoat,Units
ssp126,2025,1.2135794,7.867814,0.375136,2.5309039999999996,0.0061555055,Mt
ssp245,2025,1.2704661,8.124383,0.389951,2.607272,0.0063578417,Mt
ssp445,2025,1.254033,8.023342999999999,0.382659,2.574746,0.006153487,Mt
ssp585,2025,1.2424785,8.012609,0.387465,2.590979,0.006541264299999999,Mt
ssp126,2030,1.2823747,8.294229,0.39947299999999997,2.694311,0.006629216200000001,Mt
ssp245,2030,1.3679145,8.689812,0.421479,2.809283,0.0069426029,Mt
ssp445,2030,1.3370032,8.49888,0.408626,2.747931,0.0065703699,Mt
ssp585,2030,1.3389050000000002,8.58784,0.423989,2.817832,0.0072997274,Mt
ssp126,2035,1.3451721,8.678991,0.422555,2.8458569999999996,0.007035542099999999,Mt
ssp245,2035,1.4607743,9.223034,0.452722,3.003273,0.007478612,Mt
ssp445,2035,1.413063,8.928956,0.433333,2.908031,0.0069236378,Mt
ssp585,2035,1.4347148,9.156566999999999,0.46221500000000004,3.04856,0.0080201178,Mt
ssp126,2040,1.3951989999999999,8.982629999999999,0.440956,2.96556,0.007356154500000001,Mt
ssp245,2040,1.5495181,9.725117,0.482031,3.187863,0.0079740691,Mt
ssp445,2040,1.4805117,9.302285,0.454785,3.049487,0.0072042827,Mt
ssp585,2040,1.5177711,9.643388999999999,0.49578999999999995,3.249437,0.008637402000000002,Mt
ssp126,2045,1.4298586999999998,9.188798,0.453072,3.0468450000000002,0.007579046600000001,Mt
ssp245,2045,1.6322539,10.185547,0.508648,3.358242,0.0084330603,Mt
ssp445,2045,1.5367957,9.604377,0.472125,3.166226,0.0074131245,Mt
ssp585,2045,1.5848952000000003,10.027141,0.522803,3.4113299999999995,0.009146694,Mt
ssp126,2050,1.4494525999999999,9.29687,0.459013,3.091828,0.0076920401,Mt
ssp245,2050,1.7070534,10.594121,0.53241,3.511924,0.008828424,Mt
ssp445,2050,1.581276,9.832471,0.485338,3.258256,0.0075442753,Mt
ssp585,2050,1.6357549,10.305140999999999,0.5430809999999999,3.533262,0.009538802999999998,Mt
ssp126,2055,1.4573080999999999,9.331148999999998,0.46107299999999996,3.106949,0.00776281,Mt
ssp245,2055,1.7742196,10.949032,0.554215,3.647174,0.009240702,Mt
ssp445,2055,1.6159702,9.995056,0.496146,3.327511,0.0076997117,Mt
ssp585,2055,1.6740629,10.498499999999998,0.558208,3.619854,0.009884612,Mt
ssp126,2060,1.4539754,9.29199,0.459009,3.0951899999999997,0.007754678000000001,Mt
ssp245,2060,1.8336327,11.254885,0.573548,3.766269,0.009624166,Mt
ssp445,2060,1.639926,10.091916,0.50342,3.374643,0.0078058935,Mt
ssp585,2060,1.6995533,10.606902000000002,0.568243,3.674131,0.010143802,Mt
