scenario,Year,Beef,Dairy,Pork,Poultry,SheepGoat,Units
ssp126,2025,7.911802,145.7705,21.484599999999997,17.21471,0.9529764000000001,Mt
ssp245,2025,9.11063,149.3305,21.59043,17.67476,0.9880762000000001,Mt
ssp445,2025,9.28434,148.133,21.59013,17.70356,1.0149669,Mt
ssp585,2025,8.23558,151.1132,22.0024,17.77884,0.9932391,Mt
ssp126,2030,8.32887,150.54059999999998,22.168,17.71864,0.9990741,Mt
ssp245,2030,10.19093,156.0726,22.33085,18.42187,1.0564552,Mt
ssp445,2030,10.45182,153.8095,22.3199,18.44201,1.1001975,Mt
ssp585,2030,8.99278,160.5848,23.129669999999997,18.75507,1.0725111,Mt
ssp126,2035,8.735880000000002,154.9814,22.776110000000003,18.19156,1.0416075,Mt
ssp245,2035,11.22322,162.6657,22.8963,19.09006,1.1211855,Mt
ssp445,2035,11.52993,158.9987,22.8847,19.08912,1.1832652,Mt
ssp585,2035,9.84398,170.8196,24.20719,19.762970000000003,1.1555203,Mt
ssp126,2040,9.0914,158.906,23.16858,18.54888,1.0792842,Mt
ssp245,2040,12.28576,169.5442,23.44717,19.75834,1.190363,Mt
ssp445,2040,12.55208,163.7679,23.25267,19.60831,1.2681287,Mt
ssp585,2040,10.72308,181.3853,25.21903,20.728,1.2387906,Mt
ssp126,2045,9.38414,162.1668,23.49204,18.85385,1.1111389999999999,Mt
ssp245,2045,13.35207,176.5249,23.96492,20.41986,1.2589252,Mt
ssp445,2045,13.48746,167.9255,23.49407,20.03781,1.3499878,Mt
ssp585,2045,11.61742,192.0783,26.263209999999997,21.69729,1.3215341,Mt
ssp126,2050,9.60718,164.6311,23.82047,19.13156,1.1366289,Mt
ssp245,2050,14.54104,183.5821,24.48944,21.09569,1.3338567,Mt
ssp445,2050,14.38516,171.4589,23.69579,20.41065,1.4323074,Mt
ssp585,2050,12.5229,202.6946,27.37248,22.69588,1.4031292,Mt
ssp126,2055,9.64857,166.1883,24.05374,19.36413,1.1475628,Mt
ssp245,2055,15.39277,190.1118,24.88575,21.68536,1.382113,Mt
ssp445,2055,14.78047,173.8586,23.74219,20.70342,1.4760096,Mt
ssp585,2055,13.13938,212.5808,28.46601,23.69276,1.4661156,Mt
ssp126,2060,9.65984,167.17950000000002,24.24195,19.54692,1.1555206,Mt
ssp245,2060,16.28571,196.7023,25.24903,22.25768,1.4291291,Mt
ssp445,2060,15.16167,175.9101,23.76077,20.95329,1.5199914,Mt
ssp585,2060,13.73341,222.1541,29.57616,24.69901,1.5282972000000001,Mt
