scenario,Year,Beef,Dairy,Pork,Poultry,SheepGoat,Units
ssp126,2025,0.869639,19.05043,1.310066,3.266775,0.020929283,Mt
ssp245,2025,0.871832,19.14389,1.317323,3.306646,0.021325963,Mt
ssp445,2025,0.861147,18.89328,1.297055,3.25078,0.021173523,Mt
ssp585,2025,0.9104300000000001,19.50253,1.3434270000000001,3.3813389999999997,0.021340131999999998,Mt
ssp126,2030,0.912014,19.354100000000003,1.3551529999999998,3.396958,0.021569478,Mt
ssp245,2030,0.912113,19.49907,1.357056,3.440362,0.022049481,Mt
ssp445,2030,0.8967,19.09817,1.326976,3.355032,0.021813105,Mt
ssp585,2030,0.979717,20.253639999999997,1.4208880000000002,3.619504,0.022411906000000002,Mt
ssp126,2035,0.936661,19.53943,1.390302,3.496149,0.022020678000000002,Mt
ssp245,2035,0.936115,19.79466,1.390125,3.552045,0.022618534,Mt
ssp445,2035,0.9151,19.21318,1.3481,3.434428,0.022267376,Mt
ssp585,2035,1.0285920000000002,20.96433,1.4892500000000002,3.82856,0.023314520000000002,Mt
ssp126,2040,0.9408789999999999,19.55342,1.4078810000000002,3.5428200000000003,0.02219804,Mt
ssp245,2040,0.952959,20.06432,1.414574,3.639673,0.023079478,Mt
ssp445,2040,0.922795,19.25127,1.358174,3.479705,0.022560744,Mt
ssp585,2040,1.058782,21.529600000000002,1.537855,3.980312,0.02389898,Mt
ssp126,2045,0.929386,19.38807,1.4084400000000001,3.5431790000000003,0.02212008,Mt
ssp245,2045,0.9605360000000001,20.26872,1.428896,3.697151,0.023394562,Mt
ssp445,2045,0.9203160000000001,19.18698,1.356956,3.494088,0.022655495,Mt
ssp585,2045,1.0771890000000002,21.92579,1.568028,4.079155,0.02419203,Mt
ssp126,2050,0.911129,19.08897,1.39663,3.507669,0.021878420000000003,Mt
ssp245,2050,0.975285,20.49507,1.439903,3.745375,0.023659101,Mt
ssp445,2050,0.915522,19.06031,1.347846,3.488182,0.022615128,Mt
ssp585,2050,1.090118,22.17763,1.583321,4.1326529999999995,0.02427168,Mt
ssp126,2055,0.895616,18.74408,1.376811,3.458084,0.02158817,Mt
ssp245,2055,0.9927079999999999,20.73393,1.44953,3.79635,0.02387585,Mt
ssp445,2055,0.919024,18.94762,1.336544,3.480855,0.022532048,Mt
ssp585,2055,1.108559,22.38409,1.5906250000000002,4.177726,0.024260590000000002,Mt
ssp126,2060,0.8815820000000001,18.367,1.353314,3.396722,0.02127789,Mt
ssp245,2060,1.013403,21.00731,1.459602,3.843933,0.0241089,Mt
ssp445,2060,0.9251809999999999,18.846,1.324324,3.470945,0.022439969,Mt
ssp585,2060,1.129048,22.54079,1.593658,4.210006,0.02419698,Mt
