scenario,Year,Beef,Dairy,Pork,Poultry,SheepGoat,Units
ssp126,2025,1.65238579,25.729585399999998,0.489744,4.022607,0.43085704,Mt
ssp245,2025,1.73906055,27.0024005,0.535716,4.138124,0.4496352,Mt
ssp445,2025,1.72033149,26.8225954,0.517392,4.085073,0.44038384,Mt
ssp585,2025,1.74682627,26.710348700000004,0.537844,4.215249,0.46546136,Mt
ssp126,2030,1.7052803399999998,26.436763799999998,0.500712,4.216747,0.4527464,Mt
ssp245,2030,1.84688842,28.4458679,0.573056,4.407769,0.48439076,Mt
ssp445,2030,1.81040533,28.0697781,0.542032,4.320504,0.46740677,Mt
ssp585,2030,1.87312426,28.1466296,0.58518,4.572311,0.51116021,Mt
ssp126,2035,1.7427963100000001,26.9395759,0.508476,4.349193,0.46815629999999997,Mt
ssp245,2035,1.94445007,29.7205366,0.612024,4.636124,0.51433347,Mt
ssp445,2035,1.88674132,29.0960872,0.566916,4.506775999999999,0.48850257,Mt
ssp585,2035,1.9936996,29.454889,0.6359,4.895481,0.55180105,Mt
ssp126,2040,1.7630584999999999,27.2088814,0.5113,4.4078539999999995,0.47711165,Mt
ssp245,2040,2.03414366,30.8570421,0.645724,4.827469000000001,0.54068094,Mt
ssp445,2040,1.95031086,29.9326497,0.585308,4.643263,0.50463073,Mt
ssp585,2040,2.0962836400000002,30.5215074,0.679892,5.1583630000000005,0.58458403,Mt
ssp126,2045,1.76486813,27.2320573,0.5073,4.413417,0.47970536,Mt
ssp245,2045,2.11338289,31.8232872,0.674252,4.977446,0.56313423,Mt
ssp445,2045,1.99795398,30.5411476,0.597624,4.736221,0.51537731,Mt
ssp585,2045,2.17562995,31.296155499999998,0.71306,5.36426,0.60930193,Mt
ssp126,2050,1.7484927899999998,27.028509399999997,0.495412,4.380636,0.47614303,Mt
ssp245,2050,2.1819883,32.6366726,0.694804,5.112804,0.58209259,Mt
ssp445,2050,2.02945473,30.928951,0.602044,4.804234,0.5211393400000001,Mt
ssp585,2050,2.2304025000000003,31.7688535,0.733512,5.519502,0.62590802,Mt
ssp126,2055,1.72400959,26.643647,0.485136,4.318524999999999,0.47015361,Mt
ssp245,2055,2.24496915,33.2752189,0.719724,5.237222999999999,0.5999088300000001,Mt
ssp445,2055,2.05420668,31.1229303,0.608996,4.854235,0.52674536,Mt
ssp585,2055,2.2746015199999996,31.9943861,0.75206,5.634537,0.6388478900000001,Mt
ssp126,2060,1.6891039900000002,26.120335400000002,0.471132,4.238967000000001,0.46061287,Mt
ssp245,2060,2.29885676,33.7663436,0.740188,5.35107,0.61541061,Mt
ssp445,2060,2.0669621,31.1437129,0.610464,4.893787000000001,0.52959703,Mt
ssp585,2060,2.3031347699999998,32.0141195,0.76336,5.722398999999999,0.64667942,Mt
