scenario,Year,Beef,Dairy,Pork,Poultry,SheepGoat,Units
ssp126,2025,2.471883,181.89775,0.444295,9.42224,1.0164962800000001,Mt
ssp245,2025,2.343226,213.3947,0.515208,10.79884,1.16610288,Mt
ssp445,2025,2.280683,209.92725,0.508159,10.60916,1.14205706,Mt
ssp585,2025,2.488619,210.6439,0.5377970000000001,11.24695,1.2351979100000001,Mt
ssp126,2030,2.394343,189.92156,0.46896499999999997,9.9557,1.07805839,Mt
ssp245,2030,2.357817,241.261,0.589275,12.30902,1.33675018,Mt
ssp445,2030,2.272667,234.5041,0.5749070000000001,11.94463,1.29116721,Mt
ssp585,2030,2.509722,242.4792,0.642369,13.34722,1.48596339,Mt
ssp126,2035,2.321467,193.39534,0.479457,10.19448,1.10675777,Mt
ssp245,2035,2.466699,267.9467,0.660044,13.75513,1.49986777,Mt
ssp445,2035,2.359278,256.9262,0.6358900000000001,13.16531,1.42674101,Mt
ssp585,2035,2.6136079999999997,273.43899999999996,0.746375,15.401419999999998,1.73836921,Mt
ssp126,2040,2.262038,192.79046,0.477385,10.18213,1.10548262,Mt
ssp245,2040,2.629923,293.5228,0.727234,15.14516,1.65606927,Mt
ssp445,2040,2.490623,277.1195,0.690936,14.26913,1.54868294,Mt
ssp585,2040,2.7584910000000002,300.06640000000004,0.836949,17.200870000000002,1.96283603,Mt
ssp126,2045,2.215993,189.21817,0.466028,9.9839,1.0817500500000001,Mt
ssp245,2045,2.810523,317.4228,0.789197,16.44782,1.80215562,Mt
ssp445,2045,2.627631,294.4869,0.738328,15.2229,1.65338702,Mt
ssp585,2045,2.903771,321.7523,0.910918,18.68769,2.14903842,Mt
ssp126,2050,2.183061,183.55805,0.448163,9.65448,1.04196656,Mt
ssp245,2050,2.986259,339.11130000000003,0.845005,17.63565,1.93507335,Mt
ssp445,2050,2.751873,308.7258,0.77749,16.01162,1.73962656,Mt
ssp585,2050,3.025593,338.13,0.966858,19.83668,2.29236071,Mt
ssp126,2055,2.161417,177.11549,0.42841399999999996,9.26478,0.99738386,Mt
ssp245,2055,3.14282,358.1641,0.894009,18.68484,2.05366931,Mt
ssp445,2055,2.853553,319.736,0.8082860000000001,16.62984,1.80766115,Mt
ssp585,2055,3.125115,350.60159999999996,1.010377,20.72785,2.40672087,Mt
ssp126,2060,2.1547530000000004,169.71011,0.40610199999999996,8.81743,0.94574223,Mt
ssp245,2060,3.276471,374.3397,0.935409,19.58362,2.1559003,Mt
ssp445,2060,2.929515,327.5304,0.8306939999999999,17.07837,1.85710407,Mt
ssp585,2060,3.194655,358.7634,1.039956,21.33858,2.48617635,Mt
