scenario,Year,Beef,Dairy,Pork,Poultry,SheepGoat,Units
ssp126,2025,1.8648790000000002,1.80771024,0.412689,6.2639499999999995,0.16960621,Mt
ssp245,2025,2.012104,1.88018904,0.444346,6.725630000000001,0.18245798,Mt
ssp445,2025,1.975412,1.84564276,0.43545,6.61322,0.17908779,Mt
ssp585,2025,2.025566,1.95014016,0.454298,6.84335,0.19029024,Mt
ssp126,2030,2.000745,1.9245694899999999,0.446011,6.76558,0.18560001999999998,Mt
ssp245,2030,2.230977,2.03652869,0.496556,7.52362,0.20747178,Mt
ssp445,2030,2.17204,1.98447294,0.482523,7.338520000000001,0.20186643,Mt
ssp585,2030,2.3017540000000003,2.1792065000000003,0.52564,7.89344,0.2257227,Mt
ssp126,2035,2.087262,1.9992998599999998,0.467434,7.09169,0.19596012000000002,Mt
ssp245,2035,2.416313,2.1592078,0.5419309999999999,8.22173,0.22948298,Mt
ssp445,2035,2.331784,2.088482,0.521555,7.94731,0.22111803,Mt
ssp585,2035,2.550139,2.3717099,0.591385,8.85491,0.25863415,Mt
ssp126,2040,2.1227050000000003,2.02919073,0.476263,7.230040000000001,0.20041951000000002,Mt
ssp245,2040,2.574618,2.2490461,0.580128,8.83559,0.24902452,Mt
ssp445,2040,2.45576,2.1574217,0.55191,8.44233,0.23694813,Mt
ssp585,2040,2.747948,2.5115853,0.642809,9.612870000000001,0.28500067,Mt
ssp126,2045,2.117254,2.0244925599999997,0.474316,7.2105999999999995,0.19987597000000001,Mt
ssp245,2045,2.702341,2.3089499,0.6095820000000001,9.33961,0.26533465,Mt
ssp445,2045,2.540626,2.1939959,0.572127,8.799330000000001,0.24863114,Mt
ssp585,2045,2.893986,2.6072581,0.678858,10.1529,0.30417496999999993,Mt
ssp126,2050,2.082488,1.9976217,0.464421,7.0713,0.19537090999999998,Mt
ssp245,2050,2.8011946,2.3507043,0.631602,9.73104,0.27822458,Mt
ssp445,2050,2.5894131,2.2071868,0.583095,9.01982,0.25616357,Mt
ssp585,2050,2.9953313999999995,2.6735768999999996,0.701712,10.495270000000001,0.31660334,Mt
ssp126,2055,2.028923,1.9559160699999998,0.450311,6.85947,0.18901575,Mt
ssp245,2055,2.8794666,2.3788198,0.647803,10.02562,0.28836318,Mt
ssp445,2055,2.6121227,2.2037618,0.586797,9.11821,0.26025894,Mt
ssp585,2055,3.0600535000000004,2.7145612999999997,0.7133149999999999,10.67323,0.32420438999999995,Mt
ssp126,2060,1.960926,1.9041011399999999,0.433002,6.589600000000001,0.18073844,Mt
ssp245,2060,2.9406644,2.4006072,0.659011,10.23171,0.29581225,Mt
ssp445,2060,2.6114503,2.1892343,0.583932,9.10859,0.26109248,Mt
ssp585,2060,3.0939582,2.7408498999999997,0.71706,10.71564,0.3270974,Mt
