scenario,Year,Beef,Dairy,Pork,Poultry,SheepGoat,Units
ssp126,2025,0.531533,7.95509,1.3752250000000001,4.984933,3.1243e-4,Mt
ssp245,2025,0.5166008,7.88132,1.409327,4.963903,3.384076e-4,Mt
ssp445,2025,0.5080911,7.86381,1.387909,4.966799,3.402628e-4,Mt
ssp585,2025,0.547595,8.1713,1.45556,5.115921,3.7482e-4,Mt
ssp126,2030,0.537084,8.03177,1.382186,5.009813,3.438568e-4,Mt
ssp245,2030,0.5208226,7.8971,1.426496,4.967441,3.951716e-4,Mt
ssp445,2030,0.5077803000000001,7.90031,1.395368,4.979012,3.945188e-4,Mt
ssp585,2030,0.577866,8.44004,1.527017,5.259373999999999,4.7458e-4,Mt
ssp126,2035,0.542126,8.07358,1.3848289999999999,5.020331,3.67506e-4,Mt
ssp245,2035,0.5276025999999999,7.856490000000001,1.43961,4.94446,4.5552e-4,Mt
ssp445,2035,0.5104456,7.888199999999999,1.400699,4.969431999999999,4.48356e-4,Mt
ssp585,2035,0.618701,8.69577,1.607143,5.420282,5.94736e-4,Mt
ssp126,2040,0.546211,8.07859,1.382994,5.00787,3.83018e-4,Mt
ssp245,2040,0.535709,7.78143,1.440141,4.89794,5.20216e-4,Mt
ssp445,2040,0.5122944,7.82218,1.395677,4.929545,5.0054e-4,Mt
ssp585,2040,0.661871,8.90144,1.676215,5.555972,7.24132e-4,Mt
ssp126,2045,0.549237,8.06116,1.376635,4.985716999999999,3.891588e-4,Mt
ssp245,2045,0.546658,7.6992,1.439565,4.851999999999999,5.91136e-4,Mt
ssp445,2045,0.5122237000000001,7.719679999999999,1.381952,4.863977,5.51296e-4,Mt
ssp585,2045,0.7046910000000001,9.0835,1.7331489999999998,5.676214,8.51764e-4,Mt
ssp126,2050,0.547473,8.00769,1.358351,4.948255,3.84208e-4,Mt
ssp245,2050,0.554119,7.60314,1.428926,4.792618,6.61164e-4,Mt
ssp445,2050,0.5072190000000001,7.57847,1.355475,4.772794,5.96276e-4,Mt
ssp585,2050,0.742861,9.239090000000001,1.776443,5.779548999999999,9.6596e-4,Mt
ssp126,2055,0.546457,7.94839,1.3468259999999999,4.909077000000001,3.772748e-4,Mt
ssp245,2055,0.565497,7.50567,1.425923,4.736305,7.46052e-4,Mt
ssp445,2055,0.5045792,7.41624,1.334553,4.672268,6.49184e-4,Mt
ssp585,2055,0.7840800000000001,9.40166,1.825115,5.8793690000000005,0.001082832,Mt
ssp126,2060,0.5404150000000001,7.8445599999999995,1.3242019999999999,4.842663,3.642624e-4,Mt
ssp245,2060,0.5756519999999999,7.4027,1.418673,4.677659,8.3526e-4,Mt
ssp445,2060,0.4981087,7.230370000000001,1.305052,4.557281000000001,6.98908e-4,Mt
ssp585,2060,0.81979900000000006,9.53209,1.8644889999999998,5.961284,0.001185948,Mt
