scenario,Year,Beef,Dairy,Pork,Poultry,SheepGoat,Units
ssp126,2025,2.4466889000000003,13.167717,1.5677400000000001,6.437585,0.11651320899999999,Mt
ssp245,2025,2.532598,13.636529,1.661648,6.733976999999999,0.122707259,Mt
ssp445,2025,2.4881469,13.39143,1.614715,6.619928,0.120551451,Mt
ssp585,2025,2.511618,13.453636999999999,1.631951,6.5802249999999995,0.11892544599999999,Mt
ssp126,2030,2.5304326,13.793695,1.6451060000000002,6.75091,0.121570052,Mt
ssp245,2030,2.6659533,14.583474,1.795437,7.236556,0.131229823,Mt
ssp445,2030,2.5919149,14.170171,1.719636,7.046048,0.127647189,Mt
ssp585,2030,2.6572144,14.384058,1.772354,7.056049,0.126161173,Mt
ssp126,2035,2.5954044,14.293789000000002,1.70697,7.01023,0.125680367,Mt
ssp245,2035,2.7851463,15.439201,1.921903,7.702188,0.138837425,Mt
ssp445,2035,2.6795832,14.836933,1.813813,7.426377,0.133692111,Mt
ssp585,2035,2.7966841,15.261417999999999,1.9167839999999998,7.539772,0.132698142,Mt
ssp126,2040,2.6389195,14.632399,1.7497530000000001,7.183389,0.128426864,Mt
ssp245,2040,2.8934117,16.207159,2.034331,8.124628,0.145550332,Mt
ssp445,2040,2.747459,15.365847,1.888129,7.734069,0.138426331,Mt
ssp585,2040,2.9159653000000003,15.959843,2.035534,7.930341,0.137508379,Mt
ssp126,2045,2.6602194,14.802716000000002,1.768757,7.266283,0.129784167,Mt
ssp245,2045,2.9929846,16.895761,2.133421,8.505402,0.151445184,Mt
ssp445,2045,2.7980553,15.76437,1.944015,7.969067,0.141914588,Mt
ssp585,2045,3.0130005,16.465093,2.121997,8.215138,0.140681211,Mt
ssp126,2050,2.6585781,14.802876000000001,1.7613729999999999,7.266991,0.129835743,Mt
ssp245,2050,3.0811523,17.502953,2.219037,8.846396,0.156677949,Mt
ssp445,2050,2.8308933,16.04131,1.981422,8.142124,0.144358177,Mt
ssp585,2050,3.087847,16.779579,2.176228,8.397509,0.14244167,Mt
ssp126,2055,2.6456503999999996,14.691167,1.744506,7.210824000000001,0.129019996,Mt
ssp245,2055,3.1709287,18.038718,2.301241,9.149726999999999,0.161184031,Mt
ssp445,2055,2.8638146,16.227575,2.014364,8.265912,0.146061828,Mt
ssp585,2055,3.1518427,16.95445,2.208789,8.486517000000001,0.143073289,Mt
ssp126,2060,2.6184426000000003,14.454162000000002,1.7104249999999999,7.093153,0.127339115,Mt
ssp245,2060,3.2503135,18.471875,2.367982,9.401955000000001,0.164876656,Mt
ssp445,2060,2.8836916,16.304358,2.029635,8.331969,0.146958594,Mt
ssp585,2060,3.2017515,16.975421,2.2184109999999997,8.496181,0.142686406,Mt
