scenario,Year,Beef,Dairy,Pork,Poultry,SheepGoat,Units
ssp126,2025,1.3067016,18.7061093,0.0216702,7.04215,1.5255914300000002,Mt
ssp245,2025,1.3612761,19.1782216,0.02344769,7.39719,1.61108876,Mt
ssp445,2025,1.3564879,19.3802907,0.02303688,7.520820000000001,1.62488144,Mt
ssp585,2025,1.3770499,19.643731400000004,0.02347834,7.41777,1.65226158,Mt
ssp126,2030,1.3976055,20.208233699999997,0.02343099,7.68663,1.66467716,Mt
ssp245,2030,1.4997941,21.1918834,0.02625525,8.29195,1.8150393,Mt
ssp445,2030,1.4994979,21.6699048,0.0258211,8.587579999999999,1.85099289,Mt
ssp585,2030,1.5443289999999998,21.975785600000002,0.02693445,8.412469999999999,1.90146426,Mt
ssp126,2035,1.481782,21.543169000000002,0.02504798,8.29064,1.7879011100000002,Mt
ssp245,2035,1.6442103,23.1236061,0.02924573,9.176269999999999,2.0121217,Mt
ssp445,2035,1.6512341,23.9127267,0.02876598,9.68442,2.0781227,Mt
ssp585,2035,1.7322848,24.281605000000003,0.030671909999999997,9.46178,2.1553793,Mt
ssp126,2040,1.5557766000000002,22.664057,0.02635312,8.79153,1.8912564600000001,Mt
ssp245,2040,1.7921897,24.9391974,0.03196273,10.0229,2.2040807,Mt
ssp445,2040,1.8001584,26.0415479,0.03144209,10.73796,2.2973092,Mt
ssp585,2040,1.919387,26.386076999999997,0.03416491,10.43151,2.3906926,Mt
ssp126,2045,1.6153743999999999,23.545175699999998,0.027211270000000003,9.176860000000001,1.9711706100000002,Mt
ssp245,2045,1.9396519,26.6354315,0.03433615,10.79126,2.3858033,Mt
ssp445,2045,1.9414396,28.0618133,0.03385087,11.71163,2.5031262,Mt
ssp585,2045,2.093071,28.2069997,0.03715619,11.275580000000001,2.5959241,Mt
ssp126,2050,1.6555592000000001,24.1730789,0.02761412,9.48222,2.02445984,Mt
ssp245,2050,2.0736988,28.1467689,0.03636778,11.50816,2.5528145,Mt
ssp445,2050,2.0671601,29.9121106,0.03593822,12.63402,2.6924284,Mt
ssp585,2050,2.2416067,29.6584735,0.039522520000000005,11.98949,2.7640312000000007,Mt
ssp126,2055,1.6843991999999999,24.5655587,0.027875889999999997,9.66212,2.0600436999999996,Mt
ssp245,2055,2.2108022,29.4843206,0.03844262,12.14718,2.7118706,Mt
ssp445,2055,2.1948765,31.5915719,0.03810424,13.4765,2.8748343,Mt
ssp585,2055,2.3767906,30.8213454,0.04157482,12.51868,2.9072985,Mt
ssp126,2060,1.6959359,24.7157408,0.02781165,9.76191,2.0744069,Mt
ssp245,2060,2.3407346,30.6221139,0.04029285000000001,12.76317,2.8617139,Mt
ssp445,2060,2.311255,33.0833765,0.04000392000000001,14.30586,3.0491371,Mt
ssp585,2060,2.4891210000000004,31.6946271,0.04319134,12.96141,3.0245186,Mt
