scenario,Year,Beef,Dairy,Pork,Poultry,SheepGoat,Units
ssp126,2025,3.0117599999999998,63.954940300000004,0,2.5894809999999997,0.7859669899999999,Mt
ssp245,2025,3.1143732,65.955086,0,2.665891,0.80566461,Mt
ssp445,2025,3.1282511,66.7838083,0,2.690808,0.8035025100000001,Mt
ssp585,2025,3.1038513000000005,65.0483128,0,2.648599,0.81336928,Mt
ssp126,2030,3.4120939000000003,71.44230569999999,0,2.923712,0.8859515199999999,Mt
ssp245,2030,3.5730823,74.56728700000001,0,3.039955,0.9180539400000001,Mt
ssp445,2030,3.5372258,75.02277600000001,0,3.035624,0.90048931,Mt
ssp585,2030,3.6437804999999996,74.5435353,0,3.084641,0.9520943599999999,Mt
ssp126,2035,3.8262259,79.1443595,0,3.2680299999999995,0.9887312699999999,Mt
ssp245,2035,4.0718122,83.796087,0,3.444848,1.03983418,Mt
ssp445,2035,3.9340378,83.02864890000001,0,3.371147,0.9941049,Mt
ssp585,2035,4.260727,85.32695849999999,0,3.5830460000000004,1.1102977900000002,Mt
ssp126,2040,4.214778399999999,86.3895477,0,3.5941790000000005,1.0854078,Mt
ssp245,2040,4.6099442,93.66709709999999,0,3.880737,1.17073887,Mt
ssp445,2040,4.3458699,91.321695,0,3.719492,1.09038296,Mt
ssp585,2040,4.883941299999999,96.273893,0,4.092956,1.27049045,Mt
ssp126,2045,4.5416599,92.5270156,0,3.870847,1.1667375000000002,Mt
ssp245,2045,5.1715702,103.8934909,0,4.334278,1.30726601,Mt
ssp445,2045,4.7727931,99.9288758,0,4.08089,1.18945439,Mt
ssp585,2045,5.466477,106.5799708,0,4.575284,1.4202579,Mt
ssp126,2050,4.7823423,97.1229061,0,4.077831,1.2264363600000001,Mt
ssp245,2050,5.7365334,114.1362481,0,4.79024,1.44522401,Mt
ssp445,2050,5.2065012,108.6840283,0,4.448471,1.28974818,Mt
ssp585,2050,5.975543,115.6059103,0,4.999893999999999,1.55138901,Mt
ssp126,2055,4.9481508,100.31143680000001,0,4.220302,1.26724864,Mt
ssp245,2055,6.2804347,123.9125173,0,5.226990000000001,1.5784804,Mt
ssp445,2055,5.6303949,117.2263834,0,4.80747,1.38670359,Mt
ssp585,2055,6.40855,123.2365982,0,5.360424,1.6631711,Mt
ssp126,2060,5.035636,102.057316,0,4.298026,1.28846411,Mt
ssp245,2060,6.783321,132.9847336,0,5.633100000000001,1.7031988,Mt
ssp445,2060,6.0455661,125.5267386,0,5.15874,1.4824534,Mt
ssp585,2060,6.756238,129.3385759,0,5.652375,1.7534869,Mt
