scenario,Year,Beef,Dairy,Pork,Poultry,SheepGoat,Units
ssp126,2025,1.7818550000000002,32.096360000000004,3.5551120000000003,7.065849999999999,0.2307147,Mt
ssp245,2025,1.793459,32.33174,3.608169,7.12515,0.2374929,Mt
ssp445,2025,1.763148,31.99225,3.556493,7.05388,0.2363841,Mt
ssp585,2025,1.832976,32.98521,3.7029620000000003,7.30897,0.2382424,Mt
ssp126,2030,1.83315,32.65216,3.67012,7.30253,0.236883,Mt
ssp245,2030,1.856556,32.9821,3.739793,7.377429999999999,0.2469157,Mt
ssp445,2030,1.810609,32.46405,3.66501,7.27466,0.2454059,Mt
ssp585,2030,1.942502,34.27754,3.942881,7.7588799999999996,0.2501355,Mt
ssp126,2035,1.871725,33.04166,3.756597,7.48095,0.2406487,Mt
ssp245,2035,1.914566,33.47156,3.846055,7.57484,0.2543582,Mt
ssp445,2035,1.853204,32.77023,3.749913,7.44387,0.2523383,Mt
ssp585,2035,2.052139,35.41902,4.159691,8.15907,0.2595652,Mt
ssp126,2040,1.896366,33.22916,3.810145,7.58967,0.2418766,Mt
ssp245,2040,1.970073,33.89344,3.932323,7.7384,0.26054890000000003,Mt
ssp445,2040,1.884817,32.90429,3.802571,7.55172,0.2572502,Mt
ssp585,2040,2.145195,36.25551,4.321101,8.45798,0.2656656,Mt
ssp126,2045,1.905282,33.18746,3.827133,7.629770000000001,0.24077649999999998,Mt
ssp245,2045,2.020139,34.2026,3.995591,7.86061,0.2653767,Mt
ssp445,2045,1.900663,32.79888,3.816797,7.58476,0.2599255,Mt
ssp585,2045,2.217358,36.76273,4.427308,8.65448,0.26893659999999997,Mt
ssp126,2050,1.896606,32.90427,3.8052,7.602930000000001,0.2380724,Mt
ssp245,2050,2.061398,34.4216,4.040186,7.95146,0.2697224,Mt
ssp445,2050,1.900279,32.49421,3.798386,7.55889,0.2610743,Mt
ssp585,2050,2.266132,36.95035,4.481199999999999,8.75747,0.2700202,Mt
ssp126,2055,1.8830339999999999,32.492000000000004,3.768123,7.534750000000001,0.2352452,Mt
ssp245,2055,2.106876,34.61112,4.084885,8.03688,0.2740235,Mt
ssp445,2055,1.901277,32.10756,3.773229,7.510689999999999,0.2622036,Mt
ssp585,2055,2.3107320000000002,36.97893,4.512305,8.81057,0.2707489,Mt
ssp126,2060,1.864824,32.00633,3.7191270000000003,7.44605,0.2325914,Mt
ssp245,2060,2.15476,34.84004,4.135215,8.13626,0.2788178,Mt
ssp445,2060,1.898758,31.71538,3.746022,7.462359999999999,0.2636407,Mt
ssp585,2060,2.3486510000000003,36.92495,4.530908,8.84332,0.2715571,Mt
