scenario,Year,Beef,Dairy,Pork,Poultry,SheepGoat,Units
ssp126,2025,1.2728946399999999,4.1149531,0.2817086,2.6545959999999997,0.23524736999999998,Mt
ssp245,2025,1.3061687,4.1767892,0.2878526,2.70618,0.24166441,Mt
ssp445,2025,1.27853865,4.0865577,0.2800062,2.64525,0.23789622,Mt
ssp585,2025,1.3183514399999998,4.268635300000001,0.2936596,2.755371,0.24558407999999998,Mt
ssp126,2030,1.3753438500000001,4.4052038,0.3046625,2.8777779999999997,0.25372142,Mt
ssp245,2030,1.42158885,4.4961349,0.312418,2.947181,0.26269838,Mt
ssp445,2030,1.37321237,4.338909699999999,0.2995433,2.842489,0.25583238,Mt
ssp585,2030,1.4630109199999999,4.6999165000000005,0.32795,3.074755,0.27339602,Mt
ssp126,2035,1.4681870899999998,4.6649752,0.325435,3.085437,0.27036464,Mt
ssp245,2035,1.52592702,4.7861894,0.33503,3.167991,0.2820144,Mt
ssp445,2035,1.45103778,4.5446728,0.315638,3.008249,0.27066708,Mt
ssp585,2035,1.6074964299999999,5.1304642,0.363512,3.409189,0.30216536,Mt
ssp126,2040,1.54673454,4.880334,0.34287,3.2577309999999997,0.28454254,Mt
ssp245,2040,1.62211489,5.054291,0.355359,3.368296,0.30018225,Mt
ssp445,2040,1.51398139,4.708168,0.328235,3.138569,0.28316056,Mt
ssp585,2040,1.7383625500000002,5.5235508,0.39622199999999996,3.714996,0.32877833,Mt
ssp126,2045,1.6084122200000002,5.0438904,0.356282,3.3890000000000002,0.29560866,Mt
ssp245,2045,1.70953483,5.298858800000001,0.373287,3.545508,0.31715602,Mt
ssp445,2045,1.56207894,4.8300587,0.337901,3.233681,0.29360665,Mt
ssp585,2045,1.8505847999999998,5.8633451,0.424047,3.978003,0.35159252,Mt
ssp126,2050,1.65203775,5.1533054,0.365391,3.483635,0.30317403,Mt
ssp245,2050,1.7865917,5.5166613,0.388835,3.700534,0.3323446,Mt
ssp445,2050,1.59355766,4.909157,0.343461,3.297402,0.30024857,Mt
ssp585,2050,1.9422981000000001,6.142218499999999,0.44662199999999996,4.194679,0.37012643999999995,Mt
ssp126,2055,1.6839086600000002,5.2282587,0.37267399999999995,3.5572529999999998,0.30863546000000003,Mt
ssp245,2055,1.85894845,5.7273109,0.404414,3.855023,0.34662489,Mt
ssp445,2055,1.61785588,4.970863599999999,0.348825,3.351807,0.30625834,Mt
ssp585,2055,2.0201191,6.3846076,0.46680499999999997,4.380993,0.38578977999999997,Mt
ssp126,2060,1.70070398,5.2570672,0.37643099999999996,3.598882,0.31119823,Mt
ssp245,2060,1.9258887,5.9248747,0.418576,3.998542,0.36002846,Mt
ssp445,2060,1.6335006,5.0100612,0.352163,3.388637,0.3108244900000001,Mt
ssp585,2060,2.0801811,6.571340199999999,0.48284699999999997,4.52884,0.39791436,Mt
