scenario,Year,Beef,Dairy,Pork,Poultry,SheepGoat,Units
ssp126,2025,0.6435968,2.5564069000000003,0.2127946,1.146268,0.013694306,Mt
ssp245,2025,0.661191,2.6176726,0.2204573,1.183112,0.014226283,Mt
ssp445,2025,0.6524802000000001,2.5898453,0.2173649,1.172368,0.014130973,Mt
ssp585,2025,0.6520728000000001,2.6119657,0.2195137,1.174634,0.014069093999999999,Mt
ssp126,2030,0.6725245,2.6992145,0.2282574,1.2284869999999999,0.014598999,Mt
ssp245,2030,0.7028717,2.8068228,0.241033,1.291715,0.015486286,Mt
ssp445,2030,0.686057,2.7485109,0.234998,1.268444,0.015257007,Mt
ssp585,2030,0.6950609000000001,2.8136493000000002,0.24335400000000001,1.2956070000000002,0.015425343000000001,Mt
ssp126,2035,0.6979888,2.8210313,0.242008,1.302661,0.015376626000000001,Mt
ssp245,2035,0.7444253,2.9838397,0.261413,1.399289,0.01669513,Mt
ssp445,2035,0.7195079,2.8923597,0.252278,1.362834,0.016324987,Mt
ssp585,2035,0.7412162,3.0107864000000006,0.268498,1.426148,0.016801333,Mt
ssp126,2040,0.7202896,2.9200649000000003,0.253649,1.364055,0.016032584,Mt
ssp245,2040,0.7842561,3.1430123,0.280197,1.498732,0.017828148,Mt
ssp445,2040,0.7474907,3.0069291,0.266506,1.440539,0.017225282,Mt
ssp585,2040,0.7837584999999999,3.1804951,0.290995,1.5433679999999999,0.01800945,Mt
ssp126,2045,0.7382735,2.9933272,0.262551,1.4104700000000001,0.016546428000000002,Mt
ssp245,2045,0.8226008,3.2872916,0.29758,1.590759,0.018894577,Mt
ssp445,2045,0.7699952999999999,3.09448,0.277834,1.501876,0.017963755,Mt
ssp585,2045,0.8206998,3.3189432999999995,0.30996999999999997,1.642875,0.019020214999999997,Mt
ssp126,2050,0.7503842,3.0384143999999997,0.268373,1.442992,0.016896067,Mt
ssp245,2050,0.8568985,3.4137631,0.313429,1.675454,0.01988009,Mt
ssp445,2050,0.7862697,3.156097,0.286507,1.54998,0.018551614,Mt
ssp585,2050,0.8503547,3.4233678,0.324935,1.7227270000000001,0.019810098,Mt
ssp126,2055,0.7596961,3.0661379999999996,0.272454,1.46494,0.017138449,Mt
ssp245,2055,0.8905011,3.5289195,0.328195,1.753494,0.020773911,Mt
ssp445,2055,0.8006605,3.2007475,0.293514,1.587541,0.019009687,Mt
ssp585,2055,0.875899,3.5058108999999997,0.336978,1.784289,0.02043987,Mt
ssp126,2060,0.7642803,3.0707555,0.27417,1.475655,0.017242805,Mt
ssp245,2060,0.9206356,3.627366,0.341366,1.824744,0.02156708,Mt
ssp445,2060,0.8100723,3.2246069,0.29848,1.615629,0.019346197,Mt
ssp585,2060,0.8951810000000001,3.5601792,0.345749,1.830021,0.020887961,Mt
