scenario,Year,Beef,Dairy,Pork,Poultry,SheepGoat,Units
ssp126,2025,2.3923531000000002,10.631397999999999,1.332005,4.82025,0.1492492,Mt
ssp245,2025,2.4403403,11.00462,1.381454,5.00883,0.15793316,Mt
ssp445,2025,2.3982416,10.91432,1.361464,4.975160000000001,0.15889693,Mt
ssp585,2025,2.5272811,10.894523000000001,1.38035,4.964392999999999,0.15288165,Mt
ssp126,2030,2.5252958000000003,11.162075,1.422188,5.12848,0.15512558,Mt
ssp245,2030,2.5867457,11.767825,1.497694,5.42739,0.16841615,Mt
ssp445,2030,2.5097564,11.608648,1.465626,5.36689,0.1696645,Mt
ssp585,2030,2.7565397,11.688673,1.517325,5.4159,0.16230917,Mt
ssp126,2035,2.6291743999999997,11.583180000000002,1.496435,5.37965,0.15965359999999998,Mt
ssp245,2035,2.7104132,12.45684,1.603802,5.80416,0.17786787,Mt
ssp445,2035,2.5945901,12.216478,1.558291,5.713859999999999,0.17917109,Mt
ssp585,2035,2.9612296000000002,12.422281000000002,1.6404830000000001,5.82704,0.1709812,Mt
ssp126,2040,2.7028204999999996,11.868165000000001,1.549258,5.554930000000001,0.16252035,Mt
ssp245,2040,2.8228966,13.088053,1.698158,6.14765,0.18666917,Mt
ssp445,2040,2.6581095,12.748065,1.637465,6.01923,0.18775893,Mt
ssp585,2040,3.1394719,13.020378999999998,1.739902,6.15291,0.17789022000000002,Mt
ssp126,2045,2.7480595,12.008843,1.5798,5.651479999999999,0.16365568,Mt
ssp245,2045,2.9311278,13.652831,1.778844,6.4514,0.19460284,Mt
ssp445,2045,2.708792,13.199372,1.703773,6.280939999999999,0.19528549,Mt
ssp585,2045,3.2933297999999995,13.466414,1.8145479999999998,6.387409999999999,0.18278972,Mt
ssp126,2050,2.7662205,12.011351000000001,1.58809,5.671519999999999,0.16333433,Mt
ssp245,2050,3.029261,14.146791,1.848051,6.71052,0.2018854,Mt
ssp445,2050,2.7453993,13.573586,1.758351,6.50016,0.20190029,Mt
ssp585,2050,3.4207857,13.757012999999999,1.863173,6.529859999999999,0.18566315,Mt
ssp126,2055,2.7698078999999995,11.935443999999999,1.580913,5.64052,0.16221135,Mt
ssp245,2055,3.1492977,14.587361,1.908371,6.93192,0.20814978,Mt
ssp445,2055,2.7990759,13.89373,1.804328,6.682090000000001,0.20773251,Mt
ssp585,2055,3.5459042000000003,13.951937000000001,1.8927910000000001,6.608549999999999,0.18709182,Mt
ssp126,2060,2.7522666000000005,11.769921000000002,1.558972,5.5577,0.16023319,Mt
ssp245,2060,3.2675839,14.963591,1.956978,7.1107,0.21350872,Mt
ssp445,2060,2.8424207,14.14634,1.838612,6.82401,0.21277902,Mt
ssp585,2060,3.652377,14.034001,1.904129,6.62099,0.18724265,Mt
