scenario,Year,Beef,Dairy,Pork,Poultry,SheepGoat,Units
ssp126,2025,0.8636428,10.546686000000001,0.0358962,1.595408,0.62666438,Mt
ssp245,2025,0.964943,11.556738,0.0394625,1.735469,0.69535399,Mt
ssp445,2025,0.9563668000000001,11.533297,0.0397202,1.717228,0.67475141,Mt
ssp585,2025,0.9571878,11.693768,0.040066199999999996,1.77459,0.7119259,Mt
ssp126,2030,0.955044,11.622447000000001,0.039662100000000006,1.7876530000000002,0.7042965299999999,Mt
ssp245,2030,1.1166434,13.273203,0.0454242,2.019956,0.8215709800000001,Mt
ssp445,2030,1.0884622,13.007983,0.04493610000000001,1.953374,0.7730090599999999,Mt
ssp585,2030,1.1374710000000001,13.949953,0.0482531,2.162192,0.88042211,Mt
ssp126,2035,1.0286515999999999,12.481402,0.0427221,1.950049,0.76790997,Mt
ssp245,2035,1.2572941,14.891893,0.0511784,2.298734,0.94657948,Mt
ssp445,2035,1.1961393,14.209354,0.0492239,2.148837,0.85434005,Mt
ssp585,2035,1.3141829999999999,16.293293,0.0569664,2.578771,1.0630277599999998,Mt
ssp126,2040,1.077743,13.033632,0.0447032,2.061437,0.81028867,Mt
ssp245,2040,1.3902158,16.420813,0.0565747,2.578811,1.07487389,Mt
ssp445,2040,1.2931363,15.285914,0.05308690000000001,2.326436,0.92849819,Mt
ssp585,2040,1.4580888,18.250032,0.0643494,2.966122,1.23430656,Mt
ssp126,2045,1.1009308999999998,13.265277000000001,0.0455188,2.117279,0.8295007700000001,Mt
ssp245,2045,1.5102567,17.812265,0.06137620000000001,2.851,1.20311462,Mt
ssp445,2045,1.3777295,16.196409,0.0563704,2.483318,0.9944826,Mt
ssp585,2045,1.5701847999999998,19.893938,0.0706739,3.30428,1.38298477,Mt
ssp126,2050,1.098883,13.167924,0.0451142,2.122955,0.82705468,Mt
ssp245,2050,1.6167554,19.138625,0.0659688,3.11826,1.32944866,Mt
ssp445,2050,1.4527938,17.012504,0.0593251,2.624553,1.05377687,Mt
ssp585,2050,1.652056,21.140476,0.07554459999999999,3.5838599999999996,1.50355781,Mt
ssp126,2055,1.0827003,12.931664000000001,0.0441289,2.086161,0.81191221,Mt
ssp245,2055,1.7107675,20.365996,0.0700106,3.35898,1.45249101,Mt
ssp445,2055,1.5204209,17.742811,0.061975,2.7508,1.10782199,Mt
ssp585,2055,1.713999,22.109639,0.0791409,3.78862,1.6011919300000002,Mt
ssp126,2060,1.0526949,12.541059,0.0426461,2.022116,0.7847498900000001,Mt
ssp245,2060,1.790789,21.443549,0.0734502,3.58663,1.57036598,Mt
ssp445,2060,1.58181,18.395606,0.06436599999999999,2.86738,1.15770968,Mt
ssp585,2060,1.7571577999999999,22.776169,0.0816315,3.93897,1.67309895,Mt
