scenario,Year,Beef,Dairy,Pork,Poultry,SheepGoat,Units
ssp126,2025,0.35134347,2.2738115,1.389997,1.6881240000000002,0.0024783309000000002,Mt
ssp245,2025,0.35167317,2.2810054,1.434543,1.716377,0.0026270053,Mt
ssp445,2025,0.34875752,2.2643899,1.413534,1.706791,0.0026473569,Mt
ssp585,2025,0.35677768,2.3380187999999995,1.466256,1.758297,0.0026530532,Mt
ssp126,2030,0.35635318000000005,2.3085864000000003,1.417074,1.7239900000000001,0.0025630607,Mt
ssp245,2030,0.35836463,2.3191188,1.480616,1.766436,0.0027954536,Mt
ssp445,2030,0.35325481,2.2890516,1.44745,1.749676,0.0028096971,Mt
ssp585,2030,0.36912358,2.4166046000000003,1.5457139999999998,1.84246,0.0028232489,Mt
ssp126,2035,0.35913109000000004,2.3237853000000004,1.431635,1.743879,0.0025929088,Mt
ssp245,2035,0.36529691,2.3360411,1.514072,1.798253,0.0029254634,Mt
ssp445,2035,0.35709888,2.2912456,1.467919,1.773081,0.0029155479,Mt
ssp585,2035,0.38208744,2.4760591000000005,1.616525,1.91471,0.0029188887,Mt
ssp126,2040,0.35839140999999997,2.3184823999999997,1.433513,1.74681,0.0025566419999999996,Mt
ssp245,2040,0.37244717,2.3309775,1.527497,1.809647,0.0030518025,Mt
ssp445,2040,0.35939805,2.2698062,1.46684,1.772452,0.0030147793,Mt
ssp585,2040,0.39306928,2.5134178,1.6681540000000001,1.967121,0.0029422090000000003,Mt
ssp126,2045,0.3552558,2.2947432,1.422007,1.734734,0.0024723771,Mt
ssp245,2045,0.37790027,2.3062409,1.523501,1.802879,0.003166467,Mt
ssp445,2045,0.35862393,2.2261853,1.447693,1.750949,0.0030845162,Mt
ssp585,2045,0.40258275,2.5331903,1.7025070000000002,2.003397,0.0029137646000000003,Mt
ssp126,2050,0.35168265000000004,2.2553303,1.3959270000000001,1.7087059999999998,0.0023847875,Mt
ssp245,2050,0.38078043,2.2639657,1.503033,1.779509,0.0032866139,Mt
ssp445,2050,0.35510869,2.1628143,1.411108,1.710948,0.0031548785,Mt
ssp585,2050,0.41139774000000007,2.5391967,1.721662,2.0252749999999997,0.0028715033,Mt
ssp126,2055,0.34977307,2.2104576,1.369948,1.678178,0.0023542947,Mt
ssp245,2055,0.38333135,2.2122466,1.477749,1.747775,0.0034405994,Mt
ssp445,2055,0.35172566,2.0882048,1.369666,1.660035,0.0032808395,Mt
ssp585,2055,0.42241552,2.5422746,1.737482,2.041831,0.0028809996999999998,Mt
ssp126,2060,0.34635497,2.1556792999999996,1.3340450000000001,1.637415,0.0023495879999999997,Mt
ssp245,2060,0.38504674,2.1530433,1.443366,1.707091,0.003641746,Mt
ssp445,2060,0.34699375,2.004246,1.316844,1.598172,0.0034797651,Mt
ssp585,2060,0.43223788999999996,2.5375053,1.744373,2.048423,0.0029220038,Mt
