scenario,Year,Beef,Dairy,Pork,Poultry,SheepGoat,Units
ssp126,2025,2.01396,4.6405159,9.671710000000001,13.16273,0.24280161,Mt
ssp245,2025,1.990235,4.4140908,10.13957,13.65575,0.25393381,Mt
ssp445,2025,1.96008,4.4139603,10.02127,13.4907,0.24937589,Mt
ssp585,2025,2.024434,4.5212385,10.23376,13.829160000000002,0.26646141,Mt
ssp126,2030,2.098602,4.7507833,10.44224,14.15788,0.26661134,Mt
ssp245,2030,2.054155,4.3709557,11.18265,14.95043,0.28572378,Mt
ssp445,2030,2.004936,4.3799916,10.96017,14.65426,0.27680027,Mt
ssp585,2030,2.1275150000000003,4.518391800000001,11.52202,15.44819,0.31136146,Mt
ssp126,2035,2.174759,4.8445878,11.07603,15.00298,0.28564533000000003,Mt
ssp245,2035,2.1126018,4.3043817,12.13915,16.15434,0.31509826,Mt
ssp445,2035,2.0418038,4.3168185,11.7702,15.6787,0.30042123,Mt
ssp585,2035,2.2322042,4.4753131,12.76331,17.02467,0.35552761,Mt
ssp126,2040,2.234585,4.9092471,11.52764,15.58673,0.29904182000000007,Mt
ssp245,2040,2.168036,4.2281002,13.02082,17.24228,0.34270595,Mt
ssp445,2040,2.0705744,4.2453245,12.48572,16.55003,0.32106309,Mt
ssp585,2040,2.3333314,4.4317974,13.819980000000001,18.37876,0.39463258,Mt
ssp126,2045,2.27835,4.959681300000001,11.77686,15.90362,0.30639908,Mt
ssp245,2045,2.2200276,4.1470931,13.8106,18.19502,0.36848116,Mt
ssp445,2045,2.0916371,4.173727,13.09944,17.27306,0.33875513,Mt
ssp585,2045,2.4254636,4.399245799999999,14.65352,19.46883,0.42731097,Mt
ssp126,2050,2.3141610000000004,5.0406715,11.83324,15.996170000000001,0.30771108,Mt
ssp245,2050,2.2696613,4.1033253,14.4985,19.03301,0.39141818,Mt
ssp445,2050,2.1081522,4.1292525,13.61692,17.89044,0.35339243,Mt
ssp585,2050,2.5089335999999998,4.3973837,15.2559,20.294690000000003,0.45265528,Mt
ssp126,2055,2.325498,5.0769078,11.76703,15.89892,0.30611805,Mt
ssp245,2055,2.3111469,4.0287987,15.10198,19.75765,0.41376828,Mt
ssp445,2055,2.1220113,4.0654347,14.06214,18.3961,0.3677786199999999,Mt
ssp585,2055,2.5775580999999996,4.3773565,15.678090000000001,20.87581,0.47376563,Mt
ssp126,2060,2.3262840000000002,5.122811200000001,11.585,15.66749,0.30071964,Mt
ssp245,2060,2.3546403,3.9803122,15.61965,20.41042,0.43442686,Mt
ssp445,2060,2.1352294,4.0291705,14.43558,18.84371,0.38029668,Mt
ssp585,2060,2.634507,4.3720416,15.93394,21.270829999999997,0.48927514,Mt
