scenario,Year,Beef,Dairy,Pork,Poultry,SheepGoat,Units
ssp126,2025,0.007463325999999999,0.41236036,0.856984,1.064573,0.00236611243,Mt
ssp245,2025,0.007697527999999999,0.42102137,0.884857,1.084772,0.00254422434,Mt
ssp445,2025,0.007470519,0.4197888,0.8824699999999999,1.086859,0.00253940432,Mt
ssp585,2025,0.007844346,0.42849949,0.891883,1.084852,0.0026289012499999998,Mt
ssp126,2030,0.0076704170000000006,0.41758006999999997,0.860668,1.072005,0.0025069824299999996,Mt
ssp245,2030,0.00811211,0.43035787,0.899584,1.100299,0.00281279701,Mt
ssp445,2030,0.007706648000000001,0.42828827,0.8956500000000001,1.104369,0.00278910321,Mt
ssp585,2030,0.008522958,0.44172549,0.913656,1.101403,0.00298185887,Mt
ssp126,2035,0.007819382,0.42069799,0.863386,1.0789499999999999,0.00259096048,Mt
ssp245,2035,0.008560846,0.43793211,0.9132629999999999,1.114393,0.00306598045,Mt
ssp445,2035,0.00794288,0.43443462,0.9069269999999999,1.118532,0.00301056312,Mt
ssp585,2035,0.009245633000000001,0.45200841999999997,0.935025,1.120628,0.00331046073,Mt
ssp126,2040,0.007842913,0.42163767,0.865119,1.079101,0.00261872276,Mt
ssp245,2040,0.009003383,0.4433178,0.9233609999999999,1.121644,0.00331411397,Mt
ssp445,2040,0.008100553,0.43797215,0.914348,1.124211,0.0032059448,Mt
ssp585,2040,0.009881986999999998,0.45917417000000005,0.9522550000000001,1.134398,0.0035893034999999996,Mt
ssp126,2045,0.007765581,0.42072565,0.864364,1.072516,0.00260397097,Mt
ssp245,2045,0.009448157,0.44655478,0.929182,1.120104,0.00356351537,Mt
ssp445,2045,0.008184807,0.4392098800000001,0.917683,1.121317,0.00337751157,Mt
ssp585,2045,0.010430142,0.46372968999999997,0.964194,1.142702,0.0038162925,Mt
ssp126,2050,0.007619692,0.41892447,0.8610059999999999,1.0676139999999998,0.0025573863599999995,Mt
ssp245,2050,0.009816874,0.44824278,0.9318310000000001,1.11787,0.0037954746,Mt
ssp445,2050,0.008183797999999999,0.4389086,0.9176610000000001,1.117242,0.00351863509,Mt
ssp585,2050,0.010905855,0.46639271,0.9711749999999999,1.1490719999999999,0.003992919399999999,Mt
ssp126,2055,0.007535214,0.41830133999999997,0.860144,1.064727,0.0025173850899999997,Mt
ssp245,2055,0.01036526,0.45019116,0.9343549999999999,1.116907,0.0040622574,Mt
ssp445,2055,0.008313636000000001,0.43908735,0.918,1.114525,0.0036891752,Mt
ssp585,2055,0.011482408999999999,0.4698786499999999,0.977777,1.153049,0.004166474799999999,Mt
ssp126,2060,0.007441294000000001,0.41775305,0.859128,1.065605,0.0024683226799999997,Mt
ssp245,2060,0.01096323,0.45247698,0.9371240000000001,1.120631,0.004338238699999999,Mt
ssp445,2060,0.008440678,0.43969729,0.918418,1.116353,0.003858909,Mt
ssp585,2060,0.01203642,0.4733021,0.983802,1.160438,0.0043155552,Mt
