Input/Output,Unit,CHP_CR,BF_CR,Bg_CR,Be_CR,BP_CR,DH_CR,CFPG_CR,BgPG_LR,Cp_LR,Bg_LR,GPG_FR,BF_FR,CFPG_FR,RJF_FR
diesel,MJ/tBR,787.554,167.509,155.694,381.414,1137.6,0,324.984,0,9.825,0,302.223,203.148,324.984,1980.264
electricity(input),kwh/tBR,110,67.046,46.81,0,0,0,0,0,31.13,0,33.813,30.952,0,0
heat_input,MJ/tBR,0,0,0,0,1290,0,0,0,0,0,0,0,0,0
nature gas,MJ/tBR,0,0,0,0,58,0,0,0,0,0,0,0,0,0
electricity(output),kwh/tBR,855.1,0,0,0,0,0,922.486,870.38,0,0,1282.397,0,922.486,0
heat_output,MJ/tBR,7395,0,0,0,4050,1383.947,0,0,0,0,0,0,0,0
briquette fuel,MJ/tBR,0,10428.704,0,0,0,0,0,0,0,0,0,17599.998,0,0
biochar,t/tBR,0,0,0,0,0.296,0,0,0,0,0,0,0,0,0
bioethanol,MJ/tBR,0,0,0,6231.117,0,0,0,0,0,0,0,0,0,3426.426
biogas,MJ/tBR,0,0,6061,0,0,0,0,0,0,4886.455,0,0,0,0
NH3(gas),kg/tBR,0,0,0,0,0,0,0,4.241,0.358,4.241,0,0,0,0
NH3-N,kg/tBR,0,0,2.334,0,0,0,0,0,0,0,0,0,0,0
CO2,kg/tBR,47.12,76.215,39.745,8.98,231.467,0,119.829,27.2609,32.165,31.0542,18.082,12.155,119.829,118.482
CO,kg/tBR,0.023,0.192,0.278,0.883951774,0,33.986,0.17,0.354,0.04,0.354,0.109,40.261,0.17,1.564
H2S,kg/tBR,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0
CH4,kg/tBR,0.003,0.033,1.667811414,0.433867387,0.008,17.885,3.129,4.722,2.839,9.436,0.002,0.032,3.129,0.031
NO3N,kg/tBR,0,0,0,0,0,0,0,0.335,0,0.335,0,0,0,0
NOx,kg/tBR,0.682,0.385,0.548,2.664,1.109,0.686,2.385,0.168,0.546,0.168,1.313,0.474,2.385,2.94
N2O,kg/tBR,1.25E-06,2.48E-06,0.330000248,0.420000607,0.000630054,0,5.17E-07,0,0,0,0.017861268,0.00032319,5.17E-07,0.019
NMHC(Hydrocarbon),kg/tBR,0.081,0.016,0,0.321,0,2.983,0.187,0,0,0,0.031,0.021,0.187,0.977
NMVOC,kg/tBR,0,0.021,7.98,0.01,0,0,0,0.265,0,0.265,0.026,6.062,0,0
PM10,kg/tBR,0.041,0.199,13.965,0.972,0,0.968,3.91,0.002,0,0.002,0.016,1.737,3.91,0.156
PM2.5,kg/tBR,0,0,0,0,0,0,0,0,0,0,0,0.281,0,0
PO4-,kg/tBR,0,0,0,0,0,0,0,0.124,0,0.124,0,0,0,0
TN,kg/tBR,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0
TP,kg/tBR,0,0,0,0.027,0,0,0,0,0,0,0,0,0,0
SO2,kg/tBR,0.01,0.04,0.9138,3.665,0.053,1.082,5.769,0.067,0.269,0.067,0.005,0.061,5.769,0.026
