Input/Output,Unit,CHP_CR_ssp126_2025,BF_CR,Bg_CR,Be_CR,BP_CR,DH_CR,CFPG_CR,BgPG_LR,Cp_LR,Bg_LR,GPG_FR,BF_FR,CFPG_FR,RJF_FR,CHP_CR_ssp126_2030,BF_CR,Bg_CR,Be_CR,BP_CR,DH_CR,CFPG_CR,BgPG_LR,Cp_LR,Bg_LR,GPG_FR,BF_FR,CFPG_FR,RJF_FR,CHP_CR_ssp126_2035,BF_CR,Bg_CR,Be_CR,BP_CR,DH_CR,CFPG_CR,BgPG_LR,Cp_LR,Bg_LR,GPG_FR,BF_FR,CFPG_FR,RJF_FR,CHP_CR_ssp126_2040,BF_CR,Bg_CR,Be_CR,BP_CR,DH_CR,CFPG_CR,BgPG_LR,Cp_LR,Bg_LR,GPG_FR,BF_FR,CFPG_FR,RJF_FR,CHP_CR_ssp126_2045,BF_CR,Bg_CR,Be_CR,BP_CR,DH_CR,CFPG_CR,BgPG_LR,Cp_LR,Bg_LR,GPG_FR,BF_FR,CFPG_FR,RJF_FR,CHP_CR_ssp126_2050,BF_CR,Bg_CR,Be_CR,BP_CR,DH_CR,CFPG_CR,BgPG_LR,Cp_LR,Bg_LR,GPG_FR,BF_FR,CFPG_FR,RJF_FR,CHP_CR_ssp126_2055,BF_CR,Bg_CR,Be_CR,BP_CR,DH_CR,CFPG_CR,BgPG_LR,Cp_LR,Bg_LR,GPG_FR,BF_FR,CFPG_FR,RJF_FR,CHP_CR_ssp126_2060,BF_CR,Bg_CR,Be_CR,BP_CR,DH_CR,CFPG_CR,BgPG_LR,Cp_LR,Bg_LR,GPG_FR,BF_FR,CFPG_FR,RJF_FR
diesel,MJ/tBR,787.554,167.509,155.694,381.414,1137.6,0,324.984,0,9.825,0,302.223,203.148,324.984,1980.264,787.554,167.509,155.694,381.414,1137.6,0,324.984,0,9.825,0,302.223,203.148,324.984,1980.264,787.554,167.509,155.694,381.414,1137.6,0,324.984,0,9.825,0,302.223,203.148,324.984,1980.264,787.554,167.509,155.694,381.414,1137.6,0,324.984,0,9.825,0,302.223,203.148,324.984,1980.264,787.554,167.509,155.694,381.414,1137.6,0,324.984,0,9.825,0,302.223,203.148,324.984,1980.264,787.554,167.509,155.694,381.414,1137.6,0,324.984,0,9.825,0,302.223,203.148,324.984,1980.264,787.554,167.509,155.694,381.414,1137.6,0,324.984,0,9.825,0,302.223,203.148,324.984,1980.264,787.554,167.509,155.694,381.414,1137.6,0,324.984,0,9.825,0,302.223,203.148,324.984,1980.264
electricity(input),kwh/tBR,110,67.046,46.81,0,0,0,0,0,31.13,0,33.813,30.952,0,0,110,67.046,46.81,0,0,0,0,0,31.13,0,33.813,30.952,0,0,110,67.046,46.81,0,0,0,0,0,31.13,0,33.813,30.952,0,0,110,67.046,46.81,0,0,0,0,0,31.13,0,33.813,30.952,0,0,110,67.046,46.81,0,0,0,0,0,31.13,0,33.813,30.952,0,0,110,67.046,46.81,0,0,0,0,0,31.13,0,33.813,30.952,0,0,110,67.046,46.81,0,0,0,0,0,31.13,0,33.813,30.952,0,0,110,67.046,46.81,0,0,0,0,0,31.13,0,33.813,30.952,0,0
heat_input,MJ/tBR,0,0,0,0,1290,0,0,0,0,0,0,0,0,0,0,0,0,0,1290,0,0,0,0,0,0,0,0,0,0,0,0,0,1290,0,0,0,0,0,0,0,0,0,0,0,0,0,1290,0,0,0,0,0,0,0,0,0,0,0,0,0,1290,0,0,0,0,0,0,0,0,0,0,0,0,0,1290,0,0,0,0,0,0,0,0,0,0,0,0,0,1290,0,0,0,0,0,0,0,0,0,0,0,0,0,1290,0,0,0,0,0,0,0,0,0
nature gas,MJ/tBR,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0
electricity(output),kwh/tBR,855.1,0,0,0,0,0,922.486,870.38,0,0,1282.397,0,922.486,0,855.1,0,0,0,0,0,922.486,870.38,0,0,1282.397,0,922.486,0,855.1,0,0,0,0,0,922.486,870.38,0,0,1282.397,0,922.486,0,855.1,0,0,0,0,0,922.486,870.38,0,0,1282.397,0,922.486,0,855.1,0,0,0,0,0,922.486,870.38,0,0,1282.397,0,922.486,0,855.1,0,0,0,0,0,922.486,870.38,0,0,1282.397,0,922.486,0,855.1,0,0,0,0,0,922.486,870.38,0,0,1282.397,0,922.486,0,855.1,0,0,0,0,0,922.486,870.38,0,0,1282.397,0,922.486,0
heat_output,MJ/tBR,7395,0,0,0,4050,1383.947,0,0,0,0,0,0,0,0,7395,0,0,0,4050,1383.947,0,0,0,0,0,0,0,0,7395,0,0,0,4050,1383.947,0,0,0,0,0,0,0,0,7395,0,0,0,4050,1383.947,0,0,0,0,0,0,0,0,7395,0,0,0,4050,1383.947,0,0,0,0,0,0,0,0,7395,0,0,0,4050,1383.947,0,0,0,0,0,0,0,0,7395,0,0,0,4050,1383.947,0,0,0,0,0,0,0,0,7395,0,0,0,4050,1383.947,0,0,0,0,0,0,0,0
briquette fuel,MJ/tBR,0,10428.704,0,0,0,0,0,0,0,0,0,17599.998,0,0,0,10428.704,0,0,0,0,0,0,0,0,0,17599.998,0,0,0,10428.704,0,0,0,0,0,0,0,0,0,17599.998,0,0,0,10428.704,0,0,0,0,0,0,0,0,0,17599.998,0,0,0,10428.704,0,0,0,0,0,0,0,0,0,17599.998,0,0,0,10428.704,0,0,0,0,0,0,0,0,0,17599.998,0,0,0,10428.704,0,0,0,0,0,0,0,0,0,17599.998,0,0,0,10428.704,0,0,0,0,0,0,0,0,0,17599.998,0,0
biochar,t/tBR,0,0,0,0,0.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0.296,0,0,0,0,0,0,0,0,0
bioethanol,MJ/tBR,0,0,0,6231.117,0,0,0,0,0,0,0,0,0,3426.426,0,0,0,6231.117,0,0,0,0,0,0,0,0,0,3426.426,0,0,0,6231.117,0,0,0,0,0,0,0,0,0,3426.426,0,0,0,6231.117,0,0,0,0,0,0,0,0,0,3426.426,0,0,0,6231.117,0,0,0,0,0,0,0,0,0,3426.426,0,0,0,6231.117,0,0,0,0,0,0,0,0,0,3426.426,0,0,0,6231.117,0,0,0,0,0,0,0,0,0,3426.426,0,0,0,6231.117,0,0,0,0,0,0,0,0,0,3426.426
biogas,MJ/tBR,0,0,6061,0,0,0,0,0,0,4886.455,0,0,0,0,0,0,6061,0,0,0,0,0,0,4886.455,0,0,0,0,0,0,6061,0,0,0,0,0,0,4886.455,0,0,0,0,0,0,6061,0,0,0,0,0,0,4886.455,0,0,0,0,0,0,6061,0,0,0,0,0,0,4886.455,0,0,0,0,0,0,6061,0,0,0,0,0,0,4886.455,0,0,0,0,0,0,6061,0,0,0,0,0,0,4886.455,0,0,0,0,0,0,6061,0,0,0,0,0,0,4886.455,0,0,0,0
NH3(gas),kg/tBR,0,0,0,0,0,0,0,4.160546749,0.351208615,4.160546749,0,0,0,0,0,0,0,0,0,0,0,3.931533341,0.331876665,3.931533341,0,0,0,0,0,0,0,0,0,0,0,3.3928,0.2864,3.3928,0,0,0,0,0,0,0,0,0,0,0,2.854066659,0.240923335,2.854066659,0,0,0,0,0,0,0,0,0,0,0,2.625053251,0.221591385,2.625053251,0,0,0,0,0,0,0,0,0,0,0,2.563238249,0.21637333,2.563238249,0,0,0,0,0,0,0,0,0,0,0,2.548794558,0.21515408,2.548794558,0,0,0,0,0,0,0,0,0,0,0,2.545537734,0.214879158,2.545537734,0,0,0,0
NH3-N,kg/tBR,0,0,2.289723205,0,0,0,0,0,0,0,0,0,0,0,0,0,2.163687531,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8672,0,0,0,0,0,0,0,0,0,0,0,0,0,1.570712469,0,0,0,0,0,0,0,0,0,0,0,0,0,1.444676795,0,0,0,0,0,0,0,0,0,0,0,0,0,1.41065741,0,0,0,0,0,0,0,0,0,0,0,0,0,1.402708441,0,0,0,0,0,0,0,0,0,0,0,0,0,1.400916074,0,0,0,0,0,0,0,0,0,0,0
CO2,kg/tBR,46.22611714,74.76917483,38.99102347,8.966677506,231.1236016,0,117.555802,26.74375121,31.55481872,30.46509098,18.05517402,11.9244154,117.555802,118.3062232,43.68164373,70.65357548,36.84479902,8.883090301,228.9690716,0,111.0850528,25.27166642,29.81791321,28.78816852,17.88686401,11.2680471,111.0850528,117.2033747,37.696,60.972,31.796,8.337734656,214.9120743,0,95.8632,21.80872,25.732,24.84336,16.78874366,9.724,95.8632,110.0079596,31.71035627,51.29042452,26.74720098,6.286,162.0269,0,80.64134724,18.34577358,21.64608679,20.89855148,12.6574,8.179952897,80.64134724,82.9374,29.16588286,47.17482517,24.60097653,4.234265344,109.1417257,0,74.17059798,16.87368879,19.90918128,19.22162902,8.526056342,7.523584595,74.17059798,55.86684036,28.47908189,46.06394793,24.02167041,3.688909699,95.08472844,0,72.42402174,16.47634558,19.440358,18.76899629,7.427935989,7.346418515,72.42402174,48.67142528,28.318604,45.80438039,23.88630976,3.605322494,92.9301984,0,72.01591678,16.38350237,19.33081277,18.66323413,7.259625983,7.305021894,72.01591678,47.5685768,28.28241877,45.74585201,23.85578807,3.593806867,92.63337349,0,71.92389556,16.3625677,19.30611205,18.63938644,7.236438281,7.29568761,71.92389556,47.41663977
CO,kg/tBR,0.022563682,0.188357693,0.272726243,0.882688521,0,33.34127371,0.166775041,0.347284496,0.039241186,0.347284496,0.10883829,39.49723477,0.166775041,1.56167969,0.021321685,0.17798972,0.257714282,0.874460114,0,31.50603446,0.157595064,0.328168546,0.037081192,0.328168546,0.107823702,37.32314639,0.157595064,1.547121741,0.0184,0.1536,0.2224,0.82077477,0,27.1888,0.136,0.2832,0.032,0.2832,0.101204129,32.2088,0.136,1.452139978,0.015478315,0.12921028,0.187085718,0.6188,0,22.87156554,0.114404936,0.238231454,0.026918808,0.238231454,0.0763,27.09445361,0.114404936,1.0948,0.014236318,0.118842307,0.172073757,0.41682523,0,21.03632629,0.105224959,0.219115504,0.024758814,0.219115504,0.051395871,24.92036523,0.105224959,0.737460022,0.01390108,0.116043797,0.168021748,0.363139886,0,20.54096089,0.102747112,0.213955751,0.024175791,0.213955751,0.044776298,24.33353812,0.102747112,0.642478259,0.013822748,0.115389897,0.167074956,0.354911479,0,20.42521383,0.102168138,0.212750123,0.024039562,0.212750123,0.04376171,24.19642011,0.102168138,0.62792031,0.013805086,0.115242453,0.166861469,0.35377787,0,20.39911469,0.102037589,0.212478273,0.024008844,0.212478273,0.043621932,24.16550217,0.102037589,0.625914693
H2S,kg/tBR,0,0,0.00098103,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00092703,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0008,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00067297,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00061897,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000604395,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000600989,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000600221,0,0,0,0,0,0,0,0,0,0,0
