"","region","item","avg_RPR","min_RPR","max_RPR","crop"
"1","reg1","Barley",0.555806644693329,0.527237635762164,0.62263370190682,"OtherGrain"
"2","reg1","Maize (corn)",2.05776643087716,2.03316770979491,2.08910171232848,"Corn"
"3","reg1","Rice",1.97566860310783,1.92709694369575,2.00963583785921,"Rice"
"4","reg1","Beans, dry",3.37988058825435,3.34540657051133,3.39567024603269,"Soybean"
"5","reg1","Sugar cane",0.42,0.378,0.462,"SugarCrop"
"6","reg1","Wheat",1.5184935933664,1.5019454211855,1.5255676476029,"Wheat"
"7","reg2","Barley",1.07401398107267,0.890356715659064,1.23907840895444,"OtherGrain"
"8","reg2","Maize (corn)",1.35503193627994,1.25621476575881,1.62377679326477,"Corn"
"9","reg2","Rice",1.14939985160696,1.09039650641778,1.1791054176904,"Rice"
"10","reg2","Beans, dry",1.93396018207171,1.68708609122003,2.18485783350881,"Soybean"
"11","reg2","Sugar cane",0.42,0.378,0.462,"SugarCrop"
"12","reg2","Wheat",1.54511737399555,1.44716579243038,1.62768912792109,"Wheat"
"13","reg3","Barley",0.133708180395051,0.123158481981795,0.142112667608807,"OtherGrain"
"14","reg3","Maize (corn)",2.28972330220255,2.2376340268924,2.31730463874914,"Corn"
"15","reg3","Rice",2.25777240055163,2.20907665979695,2.30317919455503,"Rice"
"16","reg3","Beans, dry",3.5260618644371,3.45470875933909,3.554366787919,"Soybean"
"17","reg3","Sugar cane",0.42,0.378,0.462,"SugarCrop"
"18","reg3","Wheat",1.26713077453264,1.22491318797241,1.3528047685273,"Wheat"
"19","reg4","Barley",0.978406367236618,0.973998307913013,0.980509952772727,"OtherGrain"
"20","reg4","Maize (corn)",2.22619370044771,2.2071977158577,2.24552195213417,"Corn"
"21","reg4","Rice",2.07028605968678,2.06642740579055,2.07664841665613,"Rice"
"22","reg4","Beans, dry",3.318155115581,3.30997179478323,3.3247671101695,"Soybean"
"23","reg4","Sugar cane",0.42,0.378,0.462,"SugarCrop"
"24","reg4","Wheat",1.68046474658733,1.59594194620584,1.77621630571707,"Wheat"
"25","reg5","Barley",0.329664760298406,0.255377049311418,0.428578996877527,"OtherGrain"
"26","reg5","Maize (corn)",1.30682066032933,1.18185676520829,1.56917975158329,"Corn"
"27","reg5","Rice",1.39238752967929,1.33072941543408,1.42015841401533,"Rice"
"28","reg5","Beans, dry",3.03944012766534,2.98876564892071,3.08651578090299,"Soybean"
"29","reg5","Sugar cane",0.42,0.378,0.462,"SugarCrop"
"30","reg5","Wheat",1.50899004996452,1.42066145646574,1.63260170040715,"Wheat"
"31","reg6","Barley",0.515803387740202,0.313748501785158,0.667703088916715,"OtherGrain"
"32","reg6","Maize (corn)",1.21831208562489,1.05435028862519,1.47653234929002,"Corn"
"33","reg6","Rice",1.08226310338623,0.968032153875818,1.17271787451377,"Rice"
"34","reg6","Beans, dry",2.85625755556847,2.60813935347646,3.0012404175194,"Soybean"
"35","reg6","Sugar cane",0.42,0.378,0.462,"SugarCrop"
"36","reg6","Wheat",1.62098326277736,1.45254379030583,1.80271759369046,"Wheat"
"37","reg7","Barley",0.316085835540995,0.253109721825747,0.452091719194933,"OtherGrain"
"38","reg7","Maize (corn)",1.51714049135688,1.44457206889952,1.64526609598741,"Corn"
"39","reg7","Rice",1.40421911715658,1.36805281314682,1.47221905615377,"Rice"
"40","reg7","Beans, dry",3.16738144469874,3.13825864903581,3.18661197540585,"Soybean"
"41","reg7","Sugar cane",0.42,0.378,0.462,"SugarCrop"
"42","reg7","Wheat",1.54207877377338,1.44187374214041,1.62564990532992,"Wheat"
"43","reg8","Barley",0.361335115320583,0.279759436302292,0.597816037975638,"OtherGrain"
"44","reg8","Maize (corn)",0.971254499342073,0.941476050897523,1.025799215921,"Corn"
"45","reg8","Beans, dry",2.49597792222041,2.40275182848652,2.65795884232448,"Soybean"
"46","reg8","Sugar cane",0.42,0.378,0.462,"SugarCrop"
