Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year,Unit,Value,Flag,Flag Description,Note
QCL,Crops and livestock products,4,Afghanistan,5312,Area harvested,115,Barley,2019,ha,84070,A,Official figure,
QCL,Crops and livestock products,4,Afghanistan,5412,Yield,115,Barley,2019,kg/ha,1469.9,A,Official figure,
QCL,Crops and livestock products,4,Afghanistan,5312,Area harvested,115,Barley,2020,ha,86099,A,Official figure,
QCL,Crops and livestock products,4,Afghanistan,5412,Yield,115,Barley,2020,kg/ha,1483.8,A,Official figure,
QCL,Crops and livestock products,4,Afghanistan,5312,Area harvested,115,Barley,2021,ha,40273,A,Official figure,
QCL,Crops and livestock products,4,Afghanistan,5412,Yield,115,Barley,2021,kg/ha,1616.5,A,Official figure,
QCL,Crops and livestock products,4,Afghanistan,5312,Area harvested,115,Barley,2022,ha,61952,A,Official figure,
QCL,Crops and livestock products,4,Afghanistan,5412,Yield,115,Barley,2022,kg/ha,1528.4,A,Official figure,
QCL,Crops and livestock products,4,Afghanistan,5312,Area harvested,115,Barley,2023,ha,80000,X,Figure from international organizations,Unofficial figure
QCL,Crops and livestock products,4,Afghanistan,5412,Yield,115,Barley,2023,kg/ha,1375,X,Figure from international organizations,
QCL,Crops and livestock products,4,Afghanistan,5312,Area harvested,112,Maize (corn),2019,ha,94910,A,Official figure,
QCL,Crops and livestock products,4,Afghanistan,5412,Yield,112,Maize (corn),2019,kg/ha,1945.7,A,Official figure,
QCL,Crops and livestock products,4,Afghanistan,5312,Area harvested,112,Maize (corn),2020,ha,140498,A,Official figure,
QCL,Crops and livestock products,4,Afghanistan,5412,Yield,112,Maize (corn),2020,kg/ha,1934.4,A,Official figure,
QCL,Crops and livestock products,4,Afghanistan,5312,Area harvested,112,Maize (corn),2021,ha,139080,A,Official figure,
QCL,Crops and livestock products,4,Afghanistan,5412,Yield,112,Maize (corn),2021,kg/ha,1900.4,A,Official figure,
QCL,Crops and livestock products,4,Afghanistan,5312,Area harvested,112,Maize (corn),2022,ha,139000,A,Official figure,
QCL,Crops and livestock products,4,Afghanistan,5412,Yield,112,Maize (corn),2022,kg/ha,2237.4,A,Official figure,
QCL,Crops and livestock products,4,Afghanistan,5312,Area harvested,112,Maize (corn),2023,ha,127000,A,Official figure,
QCL,Crops and livestock products,4,Afghanistan,5412,Yield,112,Maize (corn),2023,kg/ha,2858.3,A,Official figure,
QCL,Crops and livestock products,4,Afghanistan,5312,Area harvested,113,Rice,2019,ha,127530,A,Official figure,
QCL,Crops and livestock products,4,Afghanistan,5412,Yield,113,Rice,2019,kg/ha,4476.6,A,Official figure,
QCL,Crops and livestock products,4,Afghanistan,5312,Area harvested,113,Rice,2020,ha,147555,A,Official figure,
QCL,Crops and livestock products,4,Afghanistan,5412,Yield,113,Rice,2020,kg/ha,4441.7,A,Official figure,
QCL,Crops and livestock products,4,Afghanistan,5312,Area harvested,113,Rice,2021,ha,141222,A,Official figure,
QCL,Crops and livestock products,4,Afghanistan,5412,Yield,113,Rice,2021,kg/ha,4406.5,A,Official figure,
QCL,Crops and livestock products,4,Afghanistan,5312,Area harvested,113,Rice,2022,ha,128000,A,Official figure,
QCL,Crops and livestock products,4,Afghanistan,5412,Yield,113,Rice,2022,kg/ha,4625,A,Official figure,
QCL,Crops and livestock products,4,Afghanistan,5312,Area harvested,113,Rice,2023,ha,129000,A,Official figure,
QCL,Crops and livestock products,4,Afghanistan,5412,Yield,113,Rice,2023,kg/ha,4627.9,A,Official figure,
QCL,Crops and livestock products,4,Afghanistan,5312,Area harvested,1802,Sugar cane,2019,ha,1653,A,Official figure,
QCL,Crops and livestock products,4,Afghanistan,5412,Yield,1802,Sugar cane,2019,kg/ha,22104.1,A,Official figure,
QCL,Crops and livestock products,4,Afghanistan,5312,Area harvested,1802,Sugar cane,2020,ha,1541,A,Official figure,
