Output,Unit,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14
ammonia,kg/t AFR,0,0,0,0,0,0,0,4.241,0.358,4.241,0,0,0,0
ammonium,kg/t AFR,0,0,2.334,0,0,0,0,0,0,0,0,0,0,0
carbon dioxide,kg/t AFR,47.12,76.215,39.745,8.98,231.467,0,119.829,27.2609,32.165,31.0542,18.082,12.155,119.829,118.482
carbon monoxide,kg/t AFR,0.023,0.192,0.278,0.884,0,33.986,0.17,0.354,0.04,0.354,0.109,40.261,0.17,1.564
hydrogen sulfide,kg/t AFR,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0
methane,kg/t AFR,0.003,0.033,1.6678,0.4339,0.008,17.885,3.129,4.722,2.839,9.436,0.002,0.032,3.129,0.031
nitrate,kg/t AFR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nitrogen oxides,kg/t AFR,0.682,0.385,0.548,2.664,1.109,0.686,2.385,0.168,0.546,0.168,1.313,0.474,2.385,2.94
nitrous oxide,kg/t AFR,0,0,0.33,0.42,0.0006,0,0,0,0,0,0.0179,0.0003,0,0.019
non-methane hydrocarbons,kg/t AFR,0.081,0.016,0,0.321,0,2.983,0.187,0,0,0,0.031,0.021,0.187,0.977
non-methane volatile organic compounds,kg/t AFR,0,0.021,7.98,0.01,0,0,0,0.265,0,0.265,0.026,6.062,0,0
particulate matter with an aerodynamic diameter ≤10 μm,kg/t AFR,0.041,0.199,13.965,0.972,0,0.968,3.91,0.002,0,0.002,0.016,1.737,3.91,0.156
particulate matter with an aerodynamic diameter ≤2.5 μm,kg/t AFR,0,0,0,0,0,0,0,0,0,0,0,0.281,0,0
phosphate,kg/t AFR,0,0,0,0,0,0,0,0.124,0,0.124,0,0,0,0
total nitrogen,kg/t AFR,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0
total phosphorus,kg/t AFR,0,0,0,0.027,0,0,0,0,0,0,0,0,0,0
sulfur dioxide,kg/t AFR,0.01,0.04,0.9138,3.665,0.053,1.082,5.769,0.067,0.269,0.067,0.005,0.061,5.769,0.026
