region,scenario,year,pop_1e6,pop_low_inc_1e6,final_ener_dem_EJ,
Africa_Eastern,SSP126,2025,371.287751,129.26383,6.583102939,-242.023921
Africa_Eastern,SSP126,2030,409.174644,121.086029,7.786719264,-288.088615
Africa_Eastern,SSP126,2035,444.937288,111.9188019,9.209489041,-333.0184861
Africa_Eastern,SSP126,2040,477.900428,102.1787521,10.84856454,-375.7216759
Africa_Eastern,SSP126,2045,509.304509,92.55920626,12.7149696,-416.7453027
Africa_Eastern,SSP126,2050,538.371587,83.16549138,14.61175845,-455.2060956
Africa_Eastern,SSP126,2055,563.285012,73.96191506,16.60305261,-489.3230969
Africa_Eastern,SSP126,2060,583.707026,65.14690658,18.53954723,-518.5601194
Africa_Northern,SSP126,2025,220.363459,1.432969381,8.507049775,-218.9304896
Africa_Northern,SSP126,2030,233.583994,1.291098378,9.652080068,-232.2928956
Africa_Northern,SSP126,2035,245.265228,1.15231486,10.79123475,-244.1129131
Africa_Northern,SSP126,2040,255.616161,1.020804122,11.82747095,-254.5953569
Africa_Northern,SSP126,2045,264.971577,0.89944026,12.75084485,-264.0721367
Africa_Northern,SSP126,2050,272.71628,0.786870063,13.47689264,-271.9294099
Africa_Northern,SSP126,2055,278.425476,0.682841417,14.09557902,-277.7426346
Africa_Northern,SSP126,2060,282.011444,0.587890635,14.55836359,-281.4235534
Africa_Southern,SSP126,2025,209.485737,105.7342412,4.135355425,-103.7514958
Africa_Southern,SSP126,2030,233.321081,100.1000051,4.695385885,-133.2210759
Africa_Southern,SSP126,2035,256.332781,93.47666182,5.38853,-162.8561192
Africa_Southern,SSP126,2040,278.036478,86.18263129,6.247610138,-191.8538467
Africa_Southern,SSP126,2045,299.001836,78.77905229,7.301555886,-220.2227837
Africa_Southern,SSP126,2050,318.800658,71.39618919,8.444484291,-247.4044688
Africa_Southern,SSP126,2055,336.086951,63.97737237,9.685572633,-272.1095786
Africa_Southern,SSP126,2060,350.639932,56.73552102,10.92901444,-293.904411
Africa_Western,SSP126,2025,622.797479,223.472817,15.33854508,-399.324662
Africa_Western,SSP126,2030,692.481755,211.2054491,18.71078225,-481.2763059
Africa_Western,SSP126,2035,761.315184,197.3695726,22.68176827,-563.9456114
Africa_Western,SSP126,2040,828.040473,182.4677848,26.64740138,-645.5726882
Africa_Western,SSP126,2045,894.388875,167.5251244,30.6993652,-726.8637506
Africa_Western,SSP126,2050,957.616825,152.4629273,34.37838457,-805.1538977
Africa_Western,SSP126,2055,1014.572146,137.3012044,38.03853009,-877.2709416
Africa_Western,SSP126,2060,1063.944267,122.3852886,41.53344106,-941.5589784
Argentina,SSP126,2025,45.898345,0.27539007,3.499477757,-45.62295493
Argentina,SSP126,2030,46.799912,0.238679551,3.727761136,-46.56123245
Argentina,SSP126,2035,47.530373,0.206044167,3.934982552,-47.32432883
Argentina,SSP126,2040,48.060967,0.177092648,4.095111746,-47.88387435
Argentina,SSP126,2045,48.443481,0.151726799,4.207962084,-48.2917542
Argentina,SSP126,2050,48.632883,0.129472011,4.263820722,-48.50341099
Argentina,SSP126,2055,48.609732,0.109998821,4.293093751,-48.49973318
Argentina,SSP126,2060,48.329408,0.092959805,4.297623887,-48.2364482
Australia_NZ,SSP126,2025,31.746474,0.15873237,6.43436085,-31.58774163
Australia_NZ,SSP126,2030,32.872356,0.139707513,6.741576197,-32.73264849
Australia_NZ,SSP126,2035,33.915097,0.122518288,7.069555245,-33.79257871
Australia_NZ,SSP126,2040,34.885307,0.107119696,7.38541436,-34.7781873
Australia_NZ,SSP126,2045,35.838688,0.093540096,7.753841637,-35.7451479
Australia_NZ,SSP126,2050,36.782628,0.081603237,8.096797294,-36.70102476
Australia_NZ,SSP126,2055,37.620646,0.070943042,8.422633486,-37.54970296
Australia_NZ,SSP126,2060,38.341322,0.061456747,8.738105616,-38.27986525
Brazil,SSP126,2025,217.004168,7.59514588,13.96667061,-209.4090221
Brazil,SSP126,2030,220.66621,6.564819748,14.91409995,-214.1013903
Brazil,SSP126,2035,222.826934,5.634736094,15.79478979,-217.1921979
Brazil,SSP126,2040,223.453514,4.802993625,16.53964425,-218.6505204
Brazil,SSP126,2045,222.956295,4.073460281,17.20050414,-218.8828347
Brazil,SSP126,2050,221.235261,3.435714122,17.63189591,-217.7995469
Brazil,SSP126,2055,218.385801,2.882743467,17.91818353,-215.5030575
Brazil,SSP126,2060,214.408676,2.405707817,18.00606228,-212.0029682
Canada,SSP126,2025,38.65693,0.07731386,11.56000284,-38.57961614
Canada,SSP126,2030,39.483135,0.06712133,11.79586209,-39.41601367
Canada,SSP126,2035,40.264983,0.0581829,12.08483835,-40.2068001
Canada,SSP126,2040,40.980694,0.050334537,12.38631152,-40.93035946
Canada,SSP126,2045,41.670639,0.043504668,12.74338349,-41.62713433
Canada,SSP126,2050,42.362036,0.037592521,13.06906584,-42.32444348
Canada,SSP126,2055,42.910563,0.032367396,13.38899937,-42.8781956
Canada,SSP126,2060,43.350025,0.02779405,13.71252941,-43.32223095
Central_America_and_Caribbean,SSP126,2025,93.898485,8.635930192,3.842962367,-85.26255481
Central_America_and_Caribbean,SSP126,2030,97.34558,7.610018291,4.18919273,-89.73556171
Central_America_and_Caribbean,SSP126,2035,99.994851,6.644556932,4.593444916,-93.35029407
Central_America_and_Caribbean,SSP126,2040,101.827257,5.751370692,5.03003166,-96.07588631
Central_America_and_Caribbean,SSP126,2045,103.046591,4.947204577,5.485627024,-98.09938642
Central_America_and_Caribbean,SSP126,2050,103.593413,4.227438595,5.895213436,-99.36597441
Central_America_and_Caribbean,SSP126,2055,103.461023,3.588730622,6.256671182,-99.87229238
Central_America_and_Caribbean,SSP126,2060,102.688155,3.027633966,6.548474728,-99.66052103
Central_Asia,SSP126,2025,99.873303,1.850696716,7.081417418,-98.02260628
Central_Asia,SSP126,2030,104.55462,1.646827062,7.650354744,-102.9077929
Central_Asia,SSP126,2035,108.453571,1.452003119,8.084534468,-107.0015679
Central_Asia,SSP126,2040,111.777786,1.272032249,8.376797571,-110.5057538
Central_Asia,SSP126,2045,114.697704,1.109471801,8.532421694,-113.5882322
Central_Asia,SSP126,2050,116.898223,0.961143823,8.545283891,-115.9370792
Central_Asia,SSP126,2055,118.147018,0.825699764,8.478141981,-117.3213182
Central_Asia,SSP126,2060,118.42965,0.703523756,8.358185228,-117.7261262
China,SSP126,2025,1434.655282,1.434655282,126.2248406,-1433.220627
China,SSP126,2030,1425.197007,1.211417456,137.8237806,-1423.98559
China,SSP126,2035,1409.401855,1.01829284,145.1875386,-1408.383562
China,SSP126,2040,1388.688404,0.852828266,148.1803214,-1387.835576
China,SSP126,2045,1362.22517,0.711090053,147.7869757,-1361.51408
China,SSP126,2050,1327.779119,0.589142649,144.7117447,-1327.189976
China,SSP126,2055,1284.511471,0.484452879,140.0291537,-1284.027018
China,SSP126,2060,1234.648631,0.395800063,134.0558484,-1234.252831
Colombia,SSP126,2025,52.254432,3.13526592,1.778940788,-49.11916608
Colombia,SSP126,2030,53.731331,2.740297881,1.960071969,-50.99103312
Colombia,SSP126,2035,54.76224,2.373943104,2.185598721,-52.3882969
